Dot Point Measurements

Generated: Tuesday 26 October 2021 07:42:48

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	BROAD	MORPHOLOGY	TYPE	FieldOfView	Relief	CODE			Radius %
100B.jpg	      0		1046	743													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			57.5
100B.jpg	      0		1005	1100													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			53.7
100B.jpg	      0		850	282													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			73.5
100B.jpg	      0		104	106													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			92.7
100B.jpg	      0		359	1396													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Fine Sand (No Shell Fragments)	Open	82001015			51.2
100B.jpg	      0		752	325													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			65.3
100B.jpg	      0		413	1075													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			18.8
100B.jpg	      0		333	1722													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			84.0
100B.jpg	      0		397	1892													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			100.0
100B.jpg	      0		754	119													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			85.1
100B.jpg	      0		914	948													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			41.3
100B.jpg	      0		639	841													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Fine Sand (No Shell Fragments)	Open	82001015			15.3
100B.jpg	      0		118	406													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Fine Sand (No Shell Fragments)	Open	82001015			65.8
100B.jpg	      0		62	1327													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			61.9
100B.jpg	      0		197	531													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			50.8
100B.jpg	      0		335	1534													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			65.3
100B.jpg	      0		375	114													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			83.1
100B.jpg	      0		80	611													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			53.9
100B.jpg	      0		384	1489													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			59.6
100B.jpg	      0		74	471													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			63.7
100B.jpg	      0		427	1082													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			18.8
100B.jpg	      0		966	1498													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			75.2
100B.jpg	      0		174	916													Macroalgae	Erect Coarse Branching	Brown	Unknown	Open	80300904			34.3
100B.jpg	      0		999	1431													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			72.3
100B.jpg	      0		1002	989													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			50.6
101B.jpg	      0		320	1798													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			95.0
101B.jpg	      0		114	302													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			68.1
101B.jpg	      0		816	449													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			43.7
101B.jpg	      0		1074	865													Substrate	Consolidated (Hard)	Rock		Open	82001002			47.3
101B.jpg	      0		561	1309													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Fine Sand (No Shell Fragments)	Open	82001015			44.9
101B.jpg	      0		512	400													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			42.6
101B.jpg	      0		710	803													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			12.9
101B.jpg	      0		128	562													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			50.8
101B.jpg	      0		387	1165													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			36.2
101B.jpg	      0		559	1117													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			26.6
101B.jpg	      0		609	546													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			28.2
101B.jpg	      0		548	1151													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			29.9
101B.jpg	      0		279	566													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			39.0
101B.jpg	      0		783	688													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			24.2
101B.jpg	      0		1018	338													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			63.7
101B.jpg	      0		522	867													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			6.2
101B.jpg	      0		652	421													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			40.6
101B.jpg	      0		303	1770													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			92.9
101B.jpg	      0		693	999													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			18.6
101B.jpg	      0		982	1805													Substrate	Consolidated (Hard)	Rock		Open	82001002			100.0
101B.jpg	      0		132	555													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			50.8
101B.jpg	      0		624	1540													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			67.1
101B.jpg	      0		881	358													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			54.3
101B.jpg	      0		909	613													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			38.2
101B.jpg	      0		400	11													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			81.2
102B.jpg	      0		1011	178													Substrate	Consolidated (Hard)	Rock		Open	82001002			100.0
102B.jpg	      0		53	839													Unscorable				Limited	1			44.0
102B.jpg	      0		265	1397													Macroalgae	Erect Coarse Branching	Brown	Unknown	Open	80300904			37.4
102B.jpg	      0		452	462													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Fine Sand (No Shell Fragments)	Open	82001015			57.2
102B.jpg	      0		413	999													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			6.9
102B.jpg	      0		548	1054													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			8.9
102B.jpg	      0		916	1156													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			45.4
102B.jpg	      0		640	1264													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Fine Sand (No Shell Fragments)	Open	82001015			26.7
