Dot Point Measurements

Generated: Tuesday 26 October 2021 07:42:49

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	BROAD	MORPHOLOGY	TYPE	FieldOfView	Relief	CODE			Radius %
100E.jpg	      0		970	1440													Macroalgae	Erect fine branching	Red	Open		90300910			54.4
100E.jpg	      0		759	219													Sponges	Massive forms		Open		10000903			78.7
100E.jpg	      0		881	1009													Macroalgae	Erect fine branching	Red	Open		90300910			9.9
100E.jpg	      0		866	94													Macroalgae	Erect fine branching	Green	Open		80300909			92.2
100E.jpg	      0		866	20													Macroalgae	Erect fine branching	Green	Open		80300909			100.0
100E.jpg	      0		864	1514													Macroalgae	Erect fine branching	Red	Open		90300910			59.7
100E.jpg	      0		595	1421													Unknown			Open					54.3
100E.jpg	      0		636	1398													Unknown			Open					50.3
100E.jpg	      0		948	49													Sponges	Massive forms		Open		10000903			97.9
100E.jpg	      0		1027	1339													Macroalgae	Erect fine branching	Brown	Open		80300908			47.1
100E.jpg	      0		1027	655													Macroalgae	Erect fine branching	Green	Open		80300909			40.0
100E.jpg	      0		969	1879													Macroalgae	Erect fine branching	Red	Open		90300910			99.7
100E.jpg	      0		627	1304													Unknown			Open					41.4
100E.jpg	      0		719	939													Macroalgae	Erect fine branching	Red	Open		90300910			9.2
100E.jpg	      0		745	818													Macroalgae	Erect fine branching	Red	Open		90300910			16.1
100E.jpg	      0		704	71													Macroalgae	Erect fine branching	Red	Open		90300910			95.0
100E.jpg	      0		804	1863													Macroalgae	Erect fine branching	Red	Open		90300910			96.5
100E.jpg	      0		660	143													Macroalgae	Erect fine branching	Red	Open		90300910			88.1
100E.jpg	      0		607	1353													Unknown			Open					47.1
100E.jpg	      0		804	1610													Consolidated	Rock	Turf mat	Open		82001002			69.6
101E.jpg	      0		687	1035													Consolidated	Rock	Turf mat	Open		82001002			4.7
101E.jpg	      0		636	1776													Sponges	Massive forms		Open		10000903			80.8
101E.jpg	      0		757	56													Macroalgae	Erect fine branching	Red	Open		90300910			100.0
101E.jpg	      0		699	1596													Macroalgae	Erect fine branching	Red	Open		90300910			61.5
101E.jpg	      0		762	1825													Macroalgae	Erect fine branching	Red	Open		90300910			85.6
101E.jpg	      0		768	1092													Sponges	Massive forms		Open		10000903			9.8
