Dot Point Measurements

Generated: Tuesday 26 October 2021 07:42:50

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	BROAD	MORPHOLOGY	TYPE	FieldOfView	Relief	CODE			Radius %
100N.jpg	      0		728	813													Seagrasses	Strap-like leaves	Thalassodendrum sp.	Open		63600903			29.5
100N.jpg	      0		870	1054													Macroalgae	Erect fine branching	Red	Open		90300910			2.0
100N.jpg	      0		883	274													Macroalgae	Erect fine branching	Green	Open		80300909			85.2
100N.jpg	      0		1072	1336													Macroalgae	Erect fine branching	Red	Open		90300910			39.4
100N.jpg	      0		1028	1662													Consolidated	Rock	Turf mat	Open		82001002			69.7
100N.jpg	      0		751	843													Macroalgae	Erect fine branching	Red	Open		90300910			25.4
100N.jpg	      0		962	1739													Consolidated	Rock	Turf mat	Open		82001002			76.4
100N.jpg	      0		973	1452													Macroalgae	Erect fine branching	Red	Open		90300910			45.9
100N.jpg	      0		953	1774													Consolidated	Rock	Turf mat	Open		82001002			80.1
100N.jpg	      0		644	297													Seagrasses	Strap-like leaves	Thalassodendrum sp.	Open		63600903			85.7
100N.jpg	      0		1076	445													Consolidated	Rock	Turf mat	Open		82001002			70.7
100N.jpg	      0		785	993													Sponges	Massive forms		Open		10000903			9.8
100N.jpg	      0		941	1573													Macroalgae	Erect fine branching	Red	Open		90300910			58.1
100N.jpg	      0		656	1455													Macroalgae	Erect fine branching	Red	Open		90300910			49.3
100N.jpg	      0		641	634													Macroalgae	Erect fine branching	Red	Open		90300910			51.3
100N.jpg	      0		1063	1180													Consolidated	Rock	Turf mat	Open		82001002			27.0
100N.jpg	      0		791	1052													Sponges	Massive forms		Open		10000903			6.8
100N.jpg	      0		607	1035													Macroalgae	Erect fine branching	Green	Open		80300909			27.0
100N.jpg	      0		890	1258													Macroalgae	Erect fine branching	Red	Open		90300910			23.1
100N.jpg	      0		747	144													Consolidated	Rock	Turf mat	Open		82001002			100.0
101N.jpg	      0		663	1058													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			27.1
101N.jpg	      0		820	1248													Macroalgae	Erect fine branching	Red	Open		90300910			39.7
101N.jpg	      0		970	1059													Sponges	Massive forms		Open		10000903			23.0
101N.jpg	      0		578	1440													Macroalgae	Erect fine branching	Red	Open		90300910			70.8
101N.jpg	      0		1019	728													Sponges	Massive forms		Open		10000903			32.5
101N.jpg	      0		786	1602													Consolidated	Rock	No biota	Open		82001002			83.2
101N.jpg	      0		1007	133													Macroalgae	Erect fine branching	Green	Open		80300909			98.8
101N.jpg	      0		1055	1712													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			100.0
101N.jpg	      0		1075	1122													Macroalgae	Erect fine branching	Green	Open		80300909			37.7
101N.jpg	      0		808	231													Macroalgae	Erect fine branching	Green	Open		80300909			84.7
101N.jpg	      0		1066	369													Macroalgae	Erect fine branching	Green	Open		80300909			73.2
101N.jpg	      0		886	859													Sponges	Massive forms		Open		10000903			9.7
101N.jpg	      0		765	958													Macroalgae	Erect fine branching	Green	Open		80300909			10.1
101N.jpg	      0		574	552													Macroalgae	Erect fine branching	Green	Open		80300909			55.8
101N.jpg	      0		926	709													Macroalgae	Erect fine branching	Green	Open		80300909			28.3
101N.jpg	      0		568	1683													Sponges	Massive forms		Open		10000903			98.6
101N.jpg	      0		837	606													Macroalgae	Erect fine branching	Green	Open		80300909			38.8
101N.jpg	      0		857	296													Macroalgae	Erect fine branching	Green	Open		80300909			76.7
101N.jpg	      0		677	1079													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			27.5
101N.jpg	      0		854	1025													Macroalgae	Erect fine branching	Green	Open		80300909			12.5
102N.jpg	      0		961	935													Sponges	Massive forms		Open		10000903			20.0
102N.jpg	      0		687	1012													Macroalgae	Erect fine branching	Red	Open		90300910			11.8
102N.jpg	      0		858	48													Macroalgae	Erect fine branching	Red	Open		90300910			100.0
102N.jpg	      0		731	1146													Macroalgae	Erect fine branching	Red	Open		90300910			11.3
102N.jpg	      0		707	1153													Macroalgae	Erect fine branching	Red	Open		90300910			13.3
102N.jpg	      0		721	749													Macroalgae	Erect fine branching	Red	Open		90300910			31.3
102N.jpg	      0		713	103													Consolidated	Rock	Turf mat	Open		82001002			94.8
102N.jpg	      0		699	1072													Macroalgae	Erect fine branching	Red	Open		90300910			9.9
102N.jpg	      0		799	1038													Sponges	Massive forms		Open		10000903			1.7
102N.jpg	      0		809	58													Macroalgae	Erect fine branching	Red	Open		90300910			98.9
102N.jpg	      0		833	1186													Macroalgae	Erect fine branching	Red	Open		90300910			13.5
102N.jpg	      0		842	1578													Macroalgae	Erect fine branching	Red	Open		90300910			52.0
102N.jpg	      0		920	1764													Macroalgae	Erect fine branching	Red	Open		90300910			71.3
102N.jpg	      0		888	1019													Macroalgae	Erect course branching	Green	Open		80300905			9.6
102N.jpg	      0		980	1222													Sponges	Small mixed		Open		10000000			24.5
102N.jpg	      0		836	1586													Macroalgae	Erect fine branching	Red	Open		90300910			52.8
102N.jpg	      0		687	827													Macroalgae	Erect fine branching	Red	Open		90300910			25.1
102N.jpg	      0		1021	1813													Macroalgae	Erect fine branching	Red	Open		90300910			78.4
102N.jpg	      0		583	1805													Macroalgae	Erect fine branching	Red	Open		90300910			77.4
102N.jpg	      0		687	985													Macroalgae	Erect fine branching	Red	Open		90300910			13.0
110N.jpg	      0		860	1094													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			14.8
110N.jpg	      0		874	1339													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			42.0
110N.jpg	      0		724	720													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			29.6
110N.jpg	      0		967	1763													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			90.4
110N.jpg	      0		844	1373													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			45.3
110N.jpg	      0		617	1839													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			99.9
