Dot Point Measurements

Generated: Tuesday 26 October 2021 07:42:51

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	BROAD	MORPHOLOGY	TYPE	FieldOfView	Relief	CODE			Radius %
100S.jpg	      0		738	594													Macroalgae	Erect fine branching	Red	Open		90300910			42.2
100S.jpg	      0		811	771													Seagrasses	Strap-like leaves	Thalassodendrum sp.	Open		63600903			22.8
100S.jpg	      0		736	1189													Consolidated	Rock	Turf mat	Open		82001002			23.8
100S.jpg	      0		549	610													Macroalgae	Erect fine branching	Red	Open		90300910			47.5
100S.jpg	      0		700	901													Seagrasses	Strap-like leaves	Thalassodendrum sp.	Open		63600903			12.0
100S.jpg	      0		629	551													Seagrasses	Strap-like leaves	Thalassodendrum sp.	Open		63600903			49.5
100S.jpg	      0		804	1440													Seagrasses	Strap-like leaves	Thalassodendrum sp.	Open		63600903			50.8
100S.jpg	      0		768	1588													Consolidated	Rock	Turf mat	Open		82001002			67.1
100S.jpg	      0		549	976													Seagrasses	Strap-like leaves	Thalassodendrum sp.	Open		63600903			25.3
100S.jpg	      0		770	1263													Macroalgae	Erect fine branching	Green	Open		80300909			31.4
100S.jpg	      0		664	919													Seagrasses	Strap-like leaves	Thalassodendrum sp.	Open		63600903			14.1
100S.jpg	      0		920	129													Consolidated	Rock	Turf mat	Open		82001002			94.2
100S.jpg	      0		578	1151													Macroalgae	Erect fine branching	Red	Open		90300910			29.2
100S.jpg	      0		822	1888													Sponges	Small mixed		Open		10000000			100.0
100S.jpg	      0		762	1533													Macroalgae	Erect course branching	Red	Open		80300906			61.1
100S.jpg	      0		939	837													Seagrasses	Strap-like leaves	Thalassodendrum sp.	Open		63600903			23.3
100S.jpg	      0		857	622													Seagrasses	Strap-like leaves	Thalassodendrum sp.	Open		63600903			39.8
100S.jpg	      0		1021	1454													Macroalgae	Erect fine branching	Red	Open		90300910			58.7
100S.jpg	      0		946	831													Seagrasses	Strap-like leaves	Thalassodendrum sp.	Open		63600903			24.3
100S.jpg	      0		1020	284													Consolidated	Rock	Turf mat	Open		82001002			80.4
101S.jpg	      0		861	1786													Consolidated	Rock	Turf mat	Open		82001002			89.1
101S.jpg	      0		944	1556													Macroalgae	Erect fine branching	Red	Open		90300910			64.2
101S.jpg	      0		891	104													Macroalgae	Erect fine branching	Red	Open		90300910			100.0
101S.jpg	      0		1075	486													Macroalgae	Erect fine branching	Red	Open		90300910			62.4
101S.jpg	      0		933	815													Macroalgae	Erect fine branching	Red	Open		90300910			22.1
101S.jpg	      0		855	1601													Consolidated	Rock	Veneer	Open		82001002			68.4
101S.jpg	      0		859	515													Macroalgae	Erect fine branching	Red	Open		90300910			53.8
101S.jpg	      0		788	992													Consolidated	Rock	No biota	Open		82001002			7.1
101S.jpg	      0		557	1486													Macroalgae	Erect fine branching	Red	Open		90300910			64.5
101S.jpg	      0		1025	598													Macroalgae	Erect fine branching	Red	Open		90300910			48.5
101S.jpg	      0		1053	1188													Macroalgae	Erect fine branching	Red	Open		90300910			31.6
101S.jpg	      0		893	245													Macroalgae	Erect fine branching	Red	Open		90300910			84.2
101S.jpg	      0		959	1366													Macroalgae	Erect fine branching	Red	Open		90300910			43.7
101S.jpg	      0		663	1659													Unknown			Limited					77.9
101S.jpg	      0		802	726													Macroalgae	Erect fine branching	Red	Open		90300910			30.5
101S.jpg	      0		643	391													Macroalgae	Erect fine branching	Red	Open		90300910			71.6
101S.jpg	      0		847	1119													Consolidated	Rock	Turf mat	Open		82001002			14.1
101S.jpg	      0		940	1801													Macroalgae	Erect fine branching	Red	Open		90300910			91.4
101S.jpg	      0		706	757													Macroalgae	Erect fine branching	Red	Open		90300910			31.1
101S.jpg	      0		717	667													Macroalgae	Erect fine branching	Red	Open		90300910			39.6
102S.jpg	      0		869	1509													Macroalgae	Erect fine branching	Red	Open		90300910			28.1
102S.jpg	      0		860	1060													Macroalgae	Erect fine branching	Red	Open		90300910			12.4
102S.jpg	      0		900	158													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			91.5
102S.jpg	      0		812	1189													Macroalgae	Erect fine branching	Red	Open		90300910			0.6
102S.jpg	      0		713	995													Macroalgae	Erect fine branching	Red	Open		90300910			19.8
102S.jpg	      0		728	728													Macroalgae	Erect fine branching	Red	Open		90300910			41.7
102S.jpg	      0		767	1777													Macroalgae	Erect fine branching	Red	Open		90300910			51.5
102S.jpg	      0		866	1354													Consolidated	Rock	Turf mat	Open		82001002			14.8
102S.jpg	      0		1053	1905													Macroalgae	Erect fine branching	Red	Open		90300910			66.0
102S.jpg	      0		740	61													Macroalgae	Erect fine branching	Red	Open		90300910			100.0
102S.jpg	      0		1026	1624													Macroalgae	Erect fine branching	Red	Open		90300910			42.1
102S.jpg	      0		773	1609													Macroalgae	Erect fine branching	Red	Open		90300910			36.7
102S.jpg	      0		832	1592													Macroalgae	Erect fine branching	Red	Open		90300910			35.1
102S.jpg	      0		704	1694													Macroalgae	Erect fine branching	Red	Open		90300910			45.1
102S.jpg	      0		921	1194													Macroalgae	Erect course branching	Red	Open		80300906			9.2
102S.jpg	      0		1009	958													Macroalgae	Erect fine branching	Red	Open		90300910			26.8
102S.jpg	      0		588	681													Macroalgae	Erect fine branching	Red	Open		90300910			49.4
102S.jpg	      0		562	1802													Macroalgae	Erect fine branching	Red	Open		90300910			58.0
102S.jpg	      0		1054	1713													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			50.3
102S.jpg	      0		554	275													Macroalgae	Erect fine branching	Red	Open		90300910			84.2
110S.jpg	      0		817	1270													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			20.6
110S.jpg	      0		721	1756													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			67.2
110S.jpg	      0		786	459													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			61.1
110S.jpg	      0		911	618													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			48.3
110S.jpg	      0		658	1233													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			17.6
110S.jpg	      0		567	1733													Sponges	Massive forms		Open		10000903			67.1
110S.jpg	      0		763	496													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			57.2
110S.jpg	      0		719	1897													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			81.1
110S.jpg	      0		766	63													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			100.0
110S.jpg	      0		648	646													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			43.5
110S.jpg	      0		605	1463													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			40.4
110S.jpg	      0		669	1781													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			70.0
110S.jpg	      0		710	979													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			10.1
110S.jpg	      0		969	1769													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			72.0
110S.jpg	      0		689	547													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			52.4
110S.jpg	      0		631	238													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			83.4
110S.jpg	      0		784	1310													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			23.5
110S.jpg	      0		715	1787													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			70.2
110S.jpg	      0		1039	1182													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			31.2
110S.jpg	      0		653	293													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			77.8
113S.jpg	      0		956	1169													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			22.8
113S.jpg	      0		805	1589													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			56.9
113S.jpg	      0		874	223													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			100.0
113S.jpg	      0		1066	1583													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			65.4
113S.jpg	      0		665	1774													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			79.0
113S.jpg	      0		747	587													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			57.8
113S.jpg	      0		697	1804													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			81.9
113S.jpg	      0		845	964													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			16.8
113S.jpg	      0		776	644													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			51.2
113S.jpg	      0		826	1053													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			7.5
113S.jpg	      0		658	843													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			31.2
113S.jpg	      0		739	1329													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			27.4
113S.jpg	      0		578	1832													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			87.5
113S.jpg	      0		718	936													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			18.8
113S.jpg	      0		587	1748													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			77.9
113S.jpg	      0		1071	1166													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			35.3
113S.jpg	      0		1004	485													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			74.2
113S.jpg	      0		595	859													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			33.4
113S.jpg	      0		655	932													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			22.6
113S.jpg	      0		573	311													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			92.1
115S.jpg	      0		1045	537													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			55.8
115S.jpg	      0		896	569													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			48.1
115S.jpg	      0		894	806													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			23.3
115S.jpg	      0		581	1304													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			41.0
115S.jpg	      0		903	81													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			100.0
115S.jpg	      0		827	1369													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			37.7
115S.jpg	      0		1048	1009													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			22.7
115S.jpg	      0		1045	1405													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			47.2
115S.jpg	      0		676	1886													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			94.4
115S.jpg	      0		930	1123													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			15.3
115S.jpg	      0		758	1385													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			40.2
115S.jpg	      0		595	174													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			93.4
115S.jpg	      0		979	1158													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			21.6
115S.jpg	      0		655	1005													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			19.2
115S.jpg	      0		617	1357													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			43.2
115S.jpg	      0		674	1540													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			58.6
115S.jpg	      0		693	366													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			70.9
115S.jpg	      0		1057	978													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			24.1
115S.jpg	      0		883	1465													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			48.3
