Dot Point Measurements

Generated: Friday 01 October 2021 13:04:03

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	BROAD	MORPHOLOGY	TYPE	FieldOfView	Relief	CODE			Radius %
1.jpg	      0		84	1424													Unscorable				Limited	1			44.9
1.jpg	      0		409	82													Unscorable				Limited	1			89.8
1.jpg	      0		105	1584													Unscorable				Limited	1			50.7
1.jpg	      0		391	1830													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			54.9
1.jpg	      0		694	1409													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			20.7
1.jpg	      0		355	1754													Macroalgae	Erect Coarse Branching	Brown	Unknown	Open	80300904			50.0
1.jpg	      0		1057	485													Macroalgae	Erect Fine Branching	Brown	Unknown	Open	80300908			67.9
1.jpg	      0		1074	1591													Substrate	Consolidated (Hard)	Boulders		Open	82001003			51.9
1.jpg	      0		302	668													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			47.1
1.jpg	      0		933	866													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			38.0
1.jpg	      0		883	1571													Macroalgae	Erect Coarse Branching	Brown	Unknown	Open	80300904			39.9
1.jpg	      0		405	671													Macroalgae	Erect Coarse Branching	Brown	Unknown	Open	80300904			43.5
1.jpg	      0		968	725													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			48.1
1.jpg	      0		18	1770													Unscorable				Limited	1			66.0
1.jpg	      0		1064	1815													Substrate	Consolidated (Hard)	Boulders		Open	82001003			64.5
1.jpg	      0		289	902													Macroalgae	Large Canopy-Forming	Brown	Ecklonia Radiata	Open	80300902			32.6
1.jpg	      0		440	971													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			20.4
1.jpg	      0		831	1575													Macroalgae	Erect Coarse Branching	Brown	Unknown	Open	80300904			37.8
1.jpg	      0		103	358													Unscorable				Limited	1			76.8
1.jpg	      0		695	1211													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			9.5
1.jpg	      0		738	1839													Macroalgae	Erect Coarse Branching	Brown	Unknown	Open	80300904			54.9
1.jpg	      0		357	1502													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			31.9
1.jpg	      0		566	1327													Macroalgae	Erect Coarse Branching	Brown	Unknown	Open	80300904			12.1
1.jpg	      0		988	10													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			100.0
1.jpg	      0		816	1527													Macroalgae	Erect Coarse Branching	Brown	Unknown	Open	80300904			33.9
10.jpg	      0		366	320													Unscorable				Limited	1			72.7
10.jpg	      0		210	648													Unscorable				Limited	1			46.6
10.jpg	      0		310	695													Substrate	Consolidated (Hard)	Rock		Open	82001002			36.3
10.jpg	      0		64	1553													Unscorable				Limited	1			75.8
10.jpg	      0		382	445													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			59.1
10.jpg	      0		360	797													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			24.1
10.jpg	      0		248	1152													Macroalgae	Erect Coarse Branching	Brown	Unknown	Open	80300904			30.9
10.jpg	      0		866	144													Macroalgae	Erect Fine Branching	Brown	Unknown	Open	80300908			99.7
10.jpg	      0		407	1858													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			94.3
10.jpg	      0		520	1913													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			100.0
10.jpg	      0		138	1639													Unscorable				Limited	1			79.5
10.jpg	      0		599	176													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			88.1
10.jpg	      0		578	1037													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			11.8
10.jpg	      0		594	1748													Substrate	Consolidated (Hard)	Rock		Open	82001002			83.0
10.jpg	      0		1065	496													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			82.0
10.jpg	      0		880	1127													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			45.6
10.jpg	      0		953	636													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			63.2
10.jpg	      0		38	627													Unscorable				Limited	1			61.3
10.jpg	      0		368	605													Substrate	Consolidated (Hard)	Cobbles		Open	82001004			42.7
10.jpg	      0		902	1769													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			95.8
10.jpg	      0		361	1256													Macroalgae	Erect Coarse Branching	Brown	Unknown	Open	80300904			31.9
10.jpg	      0		362	1873													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			96.5
10.jpg	      0		186	1749													Unscorable				Limited	1			88.1
10.jpg	      0		531	234													Substrate	Consolidated (Hard)	Rock		Open	82001002			81.1
10.jpg	      0		737	136													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			95.5
100.jpg	      0		260	58													Unscorable				Limited	1			72.5
100.jpg	      0		90	1819													Unscorable				Limited	1			100.0
100.jpg	      0		323	1008													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			20.7
100.jpg	      0		889	594													Substrate	Consolidated (Hard)	Rock		Open	82001002			48.8
100.jpg	      0		519	1003													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			20.5
100.jpg	      0		546	1115													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			31.2
100.jpg	      0		614	194													Macroalgae	Erect Fine Branching	Red	Foliose	Open	80300910			61.0
100.jpg	      0		31	1647													Unscorable				Limited	1			87.0
100.jpg	      0		493	956													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			15.4
100.jpg	      0		97	210													Unscorable				Limited	1			64.2
100.jpg	      0		736	619													Substrate	Unconsolidated (Soft)	Sand / Mud (<2Mm)	Coarse Sand (With Shell Fragments)	Open	82001014			35.0
100.jpg	      0		378	290													Unscorable				Limited	1			49.3
