Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Habitat.Length.analyst,Length.Habitat.Date,Video.notes,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Downwards.habitat.image.saved,Downwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
248,-22.7609,113.5473,20220519,8:27:25,,,No-take,76.6,Claude Spencer,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220815,Molly Gerrans,Molly Gerrans,20230403,Pre-CAL
224,-22.7598,113.5487,20220519,8:44:41,,,No-take,76.1,Claude Spencer,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220815,Molly Gerrans,Molly Gerrans,20230403,"Pre-CAL, 1 unknown"
232,-22.7576,113.5368,20220519,8:59:18,,,No-take,90.9,Claude Spencer,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220815,Molly Gerrans,Molly Gerrans,20230403,Pre-CAL
211,-22.7554,113.54,20220519,9:11:46,,,No-take,87.2,Claude Spencer,Yes,Yes,Kat,21/02/2023,Didn't put the chain on the bottom. eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220815,Molly Gerrans,Molly Gerrans,20230403,Pre-CAL
226,-22.7536,113.5408,20220519,9:30:58,,,No-take,86.6,Claude Spencer,Yes,Yes,Kat,21/02/2023,Whiteboard showed 203 (was actually 226) - correct on IPAD. Checked red lights GTG.,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230403,Pre-CAL
203,-22.7548,113.55,20220519,9:44:17,,,No-take,75.7,Claude Spencer,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230403,"drift macroalgae, Pre-CAL"
207,-22.7523,113.5552,20220519,10:00:48,,,No-take,71.4,Claude Spencer,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230403,Pre-CAL
221,-22.7519,113.5483,20220519,10:12:53,,,No-take,78.4,Claude Spencer,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230403,Pre-CAL
264,-22.7655,113.5389,20220519,10:34:40,,,No-take,81.6,Claude Spencer,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230403,"1 cod to check (corrected to genus - MG). coro and bulk trevally after period. 3 trout on the way up, Pre-CAL"
262,-22.7635,113.5347,20220519,10:45:55,,,No-take,91,Claude Spencer,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230403,"bulk fish in the distance on ledge. big red sniff cam after period, Pre-CAL"
265,-22.7561,113.529,20220519,10:58:59,,,No-take,99.2,Claude Spencer,Yes,Yes,Kat,21/02/2023,Synced white lights after drop.,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230403,Pre-CAL
266,-22.7531,113.5301,20220519,11:11:08,,,No-take,98.5,Claude Spencer,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230404,Pre-CAL
253,-22.7509,113.538,20220519,11:26:11,,,No-take,91.2,Claude Spencer,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230404,Pre-CAL
270,-22.7511,113.5387,20220519,11:37:38,,,No-take,91,Claude Spencer,Yes,Yes,Kat,21/02/2023,Showed opcode after drop. Checked red lights GTG. eDNA.,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230404,undistinguiuable blenniidae. 2 unknown species (could be anythings) Pre-CAL
201,-22.7488,113.5378,20220519,11:50:14,,,No-take,94.9,Claude Spencer,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
237,-22.7502,113.5462,20220519,12:02:40,,,No-take,81.8,Claude Spencer,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
240,-22.749,113.5509,20220519,12:18:16,,,No-take,75,Claude Spencer,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220816,Molly Gerrans,Molly Gerrans,20230329,"Post-CAL, 2 unknowns"
255,-22.7444,113.5428,20220521,13:59:38,,,No-take,87.3,Claude Spencer,Yes,Yes,Kat,21/02/2023,Checked red lights. GTG.,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220822,Molly Gerrans,Molly Gerrans,20230331,"pristipomoides aftre period, Post-CAL"
216,-22.7451,113.5437,20220521,14:12:02,,,No-take,86.5,Claude Spencer,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220822,Molly Gerrans,Molly Gerrans,20230331,Post-CAL
269,-22.7429,113.5458,20220521,14:27:47,,,No-take,83.1,Claude Spencer,Yes,Yes,Kat,21/02/2023,B59 - preferential site,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220822,Molly Gerrans,Molly Gerrans,20230403,"school of fulvos some look a bit weird - one down as speciosus, Post-CAL (both pre and post CAL dodgy for this vid)"
231,-22.7464,113.5529,20220521,14:43:17,,,No-take,73.9,Claude Spencer,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220822,N/A,N/A,N/A,no fish
245,-22.7436,113.5519,20220521,14:57:59,,,No-take,75.8,Claude Spencer,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220822,N/A,N/A,N/A,no fish
209,-22.7402,113.5521,20220521,15:13:08,,,No-take,76.7,Claude Spencer,Yes,Yes,Kat,21/02/2023,Red lights checked and white lights synced after drop. GTG. eDNA.,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220823,N/A,N/A,N/A,no fish
241,-22.7403,113.5387,20220521,15:31:01,,,No-take,94.4,Molly Gerrans ,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Molly Gerrans,,,Molly Gerrans,20220411,Molly Gerrans,Molly Gerrans,20220411,"tips over but then corrects itself, Post-CAL"
272,-22.7374,113.5422,20220521,15:45:16,,,No-take,89.2,Molly Gerrans ,Yes,Yes,Kat,21/02/2023,B62 - preferential site. Showed opcode after drop. eDNA.,RAW1,CON1,Yes,Molly Gerrans,,,Molly Gerrans,20220411,Molly Gerrans,Molly Gerrans,20220411,Post-CAL
244,-22.7347,113.5406,20220521,15:59:32,,,No-take,93,Molly Gerrans ,Yes,Yes,Kat,21/02/2023,Red lights checked after drop. GTG,RAW1,CON1,Yes,Molly Gerrans,,,Molly Gerrans,20220411,Molly Gerrans,Molly Gerrans,20220411,Post-CAL
219,-22.7317,113.543,20220521,16:11:52,,,No-take,90.7,Molly Gerrans ,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Molly Gerrans,,,Molly Gerrans,20220411,Molly Gerrans,Molly Gerrans,20220411,Post-CAL
259,-22.7312,113.5443,20220521,16:24:58,,,No-take,88.9,Molly Gerrans ,Yes,Yes,Kat,21/02/2023,B49 - preferential site. eDNA. Note Same dropped BOSS again to get more water. ,RAW1,CON1,Yes,Molly Gerrans,,,Molly Gerrans,20220411,Molly Gerrans,Molly Gerrans,20220411,Post-CAL
230,-22.7341,113.5543,20220523,8:31:26,,,No-take,76.9,Claude Spencer,Yes,No,Kat,21/02/2023,Cams 17 & 15 restarted. Resynced lights? eDNA - you turned off 2 cameras putting them in so used the flasher as initial sync point - C,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220823,N/A,N/A,N/A,tips over. no fish
274,-22.7343,113.5502,20220523,8:50:34,,,No-take,79.2,Claude Spencer,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220823,Molly Gerrans,Molly Gerrans,20230329,Mullidae? Post-CAL
205,-22.7321,113.5508,20220523,9:04:00,,,No-take,80.6,Claude Spencer,Yes,No,Kat,21/02/2023,After drop cam#14 off. BOSS flew into winch. Returned on camera 14 and white flashy lights resynced.,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220823,N/A,N/A,N/A,"boss tips over, successful count = no? no fish, PostCAL?"
214,-22.733,113.5497,20220523,9:52:30,,,No-take,81.5,Claude Spencer,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220823,Molly Gerrans,Molly Gerrans,20230329,"tips over last 30 seconds, Post-CAL"
256,-22.7326,113.5465,20220523,10:09:25,,,No-take,86.1,Claude Spencer,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220823,Molly Gerrans,Molly Gerrans,20230329,"check juv lineopunctatus, Post-CAL"
233,-22.7305,113.5526,20220523,10:25:29,,,No-take,76.2,Claude Spencer,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220823,Molly Gerrans,Molly Gerrans,20230329,"1 unknown, Post-CAL"
