Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Type,Left.cam,Right.cam,Video.notes,Raw.hdd.number,Con.hdd.number,FishNClip,Habitat.forwards.image.saved,Habitat.forwards.annotated,Habitat.backwards.image.saved,Habitat.backwards.annotated,Habitat.notes,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
17,-22.7757,113.5195,20210518,12:28,outNP.5,Point Cloates,Fished,104,Charlotte,Yes,,MBH,27,28,,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Charlotte,20210611,,,,
22,-22.7812,113.4964,20210518,12:19,outNP.10,Point Cloates,Fished,138,Charlotte,Yes,,MBH,29,30,GPS playing up,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Charlotte,20210616,,,,
25,-22.7937,113.4939,20210518,12:11,outNP.13,Point Cloates,Fished,135,Charlotte,Yes,,MBH,31,32,GPS playing up,RAW1, ,Yes,Yes,Yes,Yes,Yes,,,,Charlotte,20210621,,,,
15,-22.7461,113.5138,20210518,12:40,outNP.3,Point Cloates,Fished,130,Charlotte,Yes,,MBH,33,34,bait bag snapped,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Charlotte,20210623,,,,Tricky video - might be good if someone else watches it from scratch as well to double check it
7,-22.7287,113.5365,20210518,12:57,inNP.7,Point Cloates,No-take,100,Charlotte,Yes,,MBH,35,36,,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Charlotte,20210624,,,,
13,-22.7963,113.5041,20210518,12:08,outNP.1,Point Cloates,Fished,116,Charlotte,Yes,,MBH,37,38,Sams sponge,RAW1,,Yes,Yes,Yes,Yes,Yes,1 point to check,,,Charlotte,20210705,,,,
12,-22.7262,113.5214,20210518,12:48,inNP.12,Point Cloates,No-take,126,Charlotte,Yes,,MBH,39,40,,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Charlotte,20210706,,,,
16,-22.7812,113.5115,20210518,12:24,outNP.4,Point Cloates,Fished,111,Gabby,Yes,,MBH,41,42,"41 was put in wrong CAL will be off, (2 sponge)",RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Gabby,20211215,Claude,,,
21,-22.7563,113.5189,20210518,12:36,outNP.9,Point Cloates,Fished,112,Gabby,Yes,,MBH,43,44,,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Gabby,20211217,Charlotte,,,Need to update CAAB code for inermis
6,-22.721,113.5465,20210518,14:41,inNP.6,Point Cloates,No-take,88.5,Charlotte,Yes,,MBH,37,38,,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Charlotte,20210625,,,,
2,-22.7108,113.5386,20210518,14:46,inNP.2,Point Cloates,No-take,104,Charlotte,Yes,,MBH,31,32,,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Charlotte,20210618,,,,
3,-22.7087,113.5263,20210518,14:51,inNP.3,Point Cloates,No-take,129,Charlotte,Yes,,MBH,29,30,,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Charlotte,20210614,,,,
1,-22.696,113.5315,20210518,14:56,inNP.1,Point Cloates,No-take,129,Charlotte,,,MBH,41,42,,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Charlotte,,,,,
4,-22.6937,113.5413,20210518,15:00,inNP.4,Point Cloates,No-take,110,Charlotte,Yes,,MBH,27,28,,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Charlotte,20210611,,,,
27,-22.7027,113.556,20210518,15:06,,Point Cloates,No-take,77.8,Gabby,Yes,,Legacy,43,44,,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Gabby,20211216,Charlotte,,,Come back to Rubrio Vs Ravus
8,-22.6884,113.5563,20210518,15:12,inNP.8,Point Cloates,No-take,89.3,Charlotte,Yes,,MBH,33,34,,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Charlotte,20210622,,,,
11,-22.6761,113.5387,20210518,15:20,inNP.11,Point Cloates,No-take,139,Charlotte,Yes,,MBH,39,40,,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Charlotte,20210706,,,,
10,-22.6734,113.524,20210518,15:27,inNP.10,Point Cloates,No-take,197,Charlotte,Yes,,MBH,35,36,,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Charlotte,20210625,,,,
5,-22.6837,113.5139,20210519,7:59,inNP.5,Point Cloates,No-take,206,Gabby,Yes,,MBH,37,38,GPS not loaded,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Gabby,20220117,Claude,,,
9,-22.6962,113.5064,20210519,8:27,inNP.9,Point Cloates,No-take,207,Gabby,Yes,,MBH,31,32,,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Gabby,20220118,Charlotte,,,BRUV tilting back and forth in current
18,-22.7311,113.4913,20210519,8:40,outNP.6,Point Cloates,Fished,204,Gabby,Yes,,MBH,29,30,"Ipad missed, use MBH",RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Gabby,20220120,Charlotte,,,
23,-22.7362,113.4887,20210519,8:42,outNP.11,Point Cloates,Fished,204,Gabby,Yes,,MBH,41,42,,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Gabby,20220121,Charlotte,,,
14,-22.7413,113.4991,20210519,8:48,outNP.2,Point Cloates,Fished,179,Gabby,Yes,,MBH,27,28,Camera 27 out of charge but charge still registering,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Gabby,20220121,Claude,,,
19,-22.7437,113.484,20210519,8:53,outNP.7,Point Cloates,Fished,206,Gabby,Yes,,MBH,33,34,,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Gabby,20220124,Claude,,,
26,-22.7537,113.4763,20210519,8:59,outNP.14,Point Cloates,Fished,209,Gabby,Yes,,MBH,39,40,,RAW1,,Yes,Yes,Yes,Yes,NA,"All black, therefore not analysed.",,,Gabby,20220125,Charlotte,,,
