Dot Point Measurements

Generated: Thursday 12 May 2022 16:01:29

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	BROAD	MORPHOLOGY	TYPE	FieldOfView	Relief	CODE			Radius %
1.jpg	      0		2049	1878													Unconsolidated	Sand	mud (fine sand)	Open		82001015			38.3
1.jpg	      0		2073	853													Unconsolidated	Sand	mud (fine sand)	Open		82001015			70.4
1.jpg	      0		1964	300													Unconsolidated	Sand	mud (fine sand)	Open		82001015			93.1
1.jpg	      0		1810	1044													Unconsolidated	Sand	mud (fine sand)	Open		82001015			55.1
1.jpg	      0		1973	189													Unconsolidated	Sand	mud (fine sand)	Open		82001015			98.5
1.jpg	      0		1657	283													Unconsolidated	Sand	mud (fine sand)	Open		82001015			89.5
1.jpg	      0		1917	1776													Unconsolidated	Sand	mud (fine sand)	Open		82001015			33.1
1.jpg	      0		1700	800													Sponges	Massive forms		Open		10000903			64.5
1.jpg	      0		1999	1449													Unconsolidated	Sand	mud (fine sand)	Open		82001015			45.1
1.jpg	      0		1989	1003													Unconsolidated	Sand	mud (fine sand)	Open		82001015			61.7
1.jpg	      0		1911	1830													Unconsolidated	Sand	mud (fine sand)	Open		82001015			32.0
1.jpg	      0		1877	202													Unconsolidated	Sand	mud (fine sand)	Open		82001015			96.3
1.jpg	      0		1931	950													Unconsolidated	Sand	mud (fine sand)	Open		82001015			62.4
1.jpg	      0		1913	1547													Unconsolidated	Sand	mud (fine sand)	Open		82001015			38.6
1.jpg	      0		1889	1877													Unconsolidated	Sand	mud (fine sand)	Open		82001015			30.3
1.jpg	      0		1687	1231													Unconsolidated	Sand	mud (fine sand)	Open		82001015			43.8
1.jpg	      0		1722	612													Unconsolidated	Sand	mud (fine sand)	Open		82001015			74.0
1.jpg	      0		1744	1022													Unconsolidated	Sand	mud (fine sand)	Open		82001015			54.7
1.jpg	      0		1693	1283													Unconsolidated	Sand	mud (fine sand)	Open		82001015			41.5
1.jpg	      0		1879	1400													Unconsolidated	Sand	mud (fine sand)	Open		82001015			42.3
1.jpg	      0		572	1068													Open Water			Open					60.7
1.jpg	      0		704	858													Invertebrate Complex	Complex 1		Open					66.0
1.jpg	      0		745	1585													Unconsolidated	Sand	mud (fine sand)	Open		82001015			35.8
1.jpg	      0		722	908													Unknown			Open					63.3
1.jpg	      0		1049	704													Unconsolidated	Sand	mud (fine sand)	Open		82001015			67.5
1.jpg	      0		973	71													Unconsolidated	Sand	mud (fine sand)	Open		82001015			100.0
1.jpg	      0		546	367													Open Water			Open					92.1
1.jpg	      0		1059	1388													Unconsolidated	Sand	mud (fine sand)	Open		82001015			33.8
1.jpg	      0		632	1677													Open Water			Open					38.3
1.jpg	      0		843	1337													Unconsolidated	Sand	mud (fine sand)	Open		82001015			41.4
1.jpg	      0		671	1717													Unconsolidated	Sand	mud (fine sand)	Open		82001015			35.7
1.jpg	      0		1067	88													Unconsolidated	Sand	mud (fine sand)	Open		82001015			98.5
1.jpg	      0		921	1756													Unconsolidated	Sand	mud (fine sand)	Open		82001015			23.4
1.jpg	      0		563	966													Open Water			Open					65.1
1.jpg	      0		834	986													Unconsolidated	Sand	mud (fine sand)	Open		82001015			57.2
1.jpg	      0		940	628													Unconsolidated	Sand	mud (fine sand)	Open		82001015			72.6
1.jpg	      0		944	809													Unconsolidated	Sand	mud (fine sand)	Open		82001015			63.7
1.jpg	      0		562	1228													Open Water			Open					54.9
1.jpg	      0		857	1485													Unconsolidated	Sand	mud (fine sand)	Open		82001015			35.0
1.jpg	      0		878	1898													Unconsolidated	Sand	mud (fine sand)	Open		82001015			22.6
1.jpg	      0		1012	2732													Unconsolidated	Sand	mud (fine sand)	Open		82001015			40.3
1.jpg	      0		845	2720													Unconsolidated	Sand	mud (fine sand)	Open		82001015			43.7
1.jpg	      0		712	3555													Unconsolidated	Sand	mud (fine sand)	Open		82001015			85.1
1.jpg	      0		795	3523													Unconsolidated	Sand	mud (fine sand)	Open		82001015			82.1
1.jpg	      0		599	3227													Open Water			Open					72.4
1.jpg	      0		973	3738													Unconsolidated	Sand	mud (fine sand)	Open		82001015			90.4
1.jpg	      0		570	2578													Open Water			Open					47.9
1.jpg	      0		610	2964													Open Water			Open					60.8
1.jpg	      0		605	3711													Open Water			Open					94.5
1.jpg	      0		764	2731													Unconsolidated	Sand	mud (fine sand)	Open		82001015			46.6
1.jpg	      0		1004	3433													Unconsolidated	Sand	mud (fine sand)	Open		82001015			74.8
1.jpg	      0		663	3327													Open Water			Open					75.4
1.jpg	      0		892	3415													Unconsolidated	Sand	mud (fine sand)	Open		82001015			75.3
1.jpg	      0		897	1954													Unconsolidated	Sand	mud (fine sand)	Open		82001015			21.1
1.jpg	      0		1018	2754													Unconsolidated	Sand	mud (fine sand)	Open		82001015			41.3
1.jpg	      0		723	2635													Unconsolidated	Sand	mud (fine sand)	Open		82001015			44.1
1.jpg	      0		642	3460													Open Water			Open					82.0
1.jpg	      0		839	3055													Unconsolidated	Sand	mud (fine sand)	Open		82001015			59.0
1.jpg	      0		543	2047													Open Water			Open					39.2
1.jpg	      0		648	2488													Open Water			Open					41.9
1.jpg	      0		1723	2582													Unconsolidated	Sand	mud (fine sand)	Open		82001015			36.5
1.jpg	      0		1964	3295													Unconsolidated	Sand	mud (fine sand)	Open		82001015			74.1
1.jpg	      0		1668	3394													Open Water			Open					73.5
1.jpg	      0		1639	2417													Open Water			Open					27.2
