Dot Point Measurements

Generated: Tuesday 29 November 2022 11:52:39

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	BROAD	MORPHOLOGY	TYPE	RELIEF	CODE				Radius %
1.JPG	      0		2523	254													Unknown			Limited					66.1
1.JPG	      0		1777	1043													Invertebrate Complex	Complex 1		Open					22.2
1.JPG	      0		2394	3258													Unconsolidated	Sand	mud (fine sand)	Open		82001015			100.0
1.JPG	      0		1779	807													Invertebrate Complex	Complex 1		Open					33.3
1.JPG	      0		1426	571													Unknown			Open					53.2
1.JPG	      0		1614	1204													Unknown			Open					23.0
1.JPG	      0		1827	1398													Sponges	Massive forms		Open		10000903			9.4
1.JPG	      0		2067	3107													Unconsolidated	Sand	mud (fine sand)	Open		82001015			90.0
1.JPG	      0		1993	1779													Unconsolidated	Sand	mud (fine sand)	Open		82001015			20.1
1.JPG	      0		2526	92													Unknown			Limited					74.1
1.JPG	      0		1638	1551													Sponges	Massive forms		Open		10000903			20.9
1.JPG	      0		2291	25													Unknown			Limited					73.9
1.JPG	      0		1615	1608													Sponges	Massive forms		Open		10000903			23.3
1.JPG	      0		1989	1353													Sponges	Massive forms		Open		10000903			2.5
1.JPG	      0		1872	377													Unconsolidated	Sand	mud (fine sand)	Open		82001015			54.2
1.JPG	      0		2041	2564													Unconsolidated	Sand	mud (fine sand)	Open		82001015			61.4
1.JPG	      0		1727	2888													Sponges	Massive forms		Open		10000903			79.8
1.JPG	      0		2686	482													Unknown			Limited					60.1
1.JPG	      0		1798	2714													Sponges	Massive forms		Open		10000903			70.1
1.JPG	      0		2520	893													Unconsolidated	Sand	mud (fine sand)	Open		82001015			38.0
10.jpg	      0		2701	1139													Unconsolidated	Sand	mud (fine sand)	Open		82001015			27.8
10.jpg	      0		1803	3425													Unconsolidated	Sand	mud (fine sand)	Open		82001015			90.4
10.jpg	      0		2882	311													Unconsolidated	Sand	mud (fine sand)	Open		82001015			67.9
10.jpg	      0		1709	3605													Unconsolidated	Sand	mud (fine sand)	Open		82001015			100.0
