Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,System,Left.cam,Right.cam,Video.notes,Raw.hdd.number,Con.hdd.number,Forward.habitat.image.saved,Forward.habitat.image.annotated,Backwards.habitat.image.saved,Backward.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,AFID.training,Notes
54,-22.7654,113.5392,20220520,8:32:36,,,,83.1,Molly,Yes,Yes,1,27,28,,RAW1,all g,Yes,Yes,Yes,Yes,Molly,20220715,Kaitlin,Kaitlin,Check euanus lengths,Henry 20221011,Only one length in some maxN frames?
52,-22.7635,113.5348,20220520,8:50:37,,,,91,Molly,Yes,Yes,2,29,30,,RAW1,all g,Yes,Yes,Yes,Yes,Molly,20220719,Kaitlin,Kaitlin,20220913,Kaitlin 20221011,
26,-22.7615,113.5484,20220520,9:08:31,,,,77.2,Kaitlin,Yes,Yes,3,31,32,Cam 31 was off when taken out,RAW1,all g,Yes,Yes,Yes,Yes,Kaitlin,20220801,,Molly/Kaitlin,20221117,Henry 20221011,
45,-22.7602,113.5432,20220520,9:23:19,,,,81.8,test video,Yes,Yes,4,33,34,,RAW1,all g,Yes,Yes,Yes,Yes,test video,,Kaitlin,Kaitlin,20221117,,
7,-22.7574,113.5382,20220520,9:36:32,,,,89.3,Kaitlin,Yes,Yes,5,35,36,,RAW1,all g,Yes,Yes,Yes,Yes,Kaitlin,20220801,,Molly/Kaitlin,20221117,Henry 20221011,
55,-22.7564,113.529,20220520,9:48:49,,,,89.1,test video,Yes,Yes,6,37,38,,RAW1,all g,Yes,Yes,Yes,Yes,test video,,Kaitlin,Kaitlin,20221117,,
56,-22.7534,113.5302,20220520,10:09:08,,,,99.8,Kaitlin,Yes,Yes,7,39,40,Cam 40 was off when taken out. Back housing says 19.,RAW1,all g,Yes,Yes,Yes,Yes,Kaitin,20220802,,Molly/Kaitlin,20221117,,
31,-22.7542,113.5424,20220520,10:27:48,,,,82.3,Kaitlin,Yes,Yes,8,41,42,,RAW1,all g,Yes,Yes,Yes,Yes,Kaitlin,20220803,,Molly/Kaitlin,20221117,,
40,-22.7522,113.5444,20220520,11:58:07,,,,84.1,Henry,Yes,Yes,1,27,28,,RAW1,all g,Yes,Yes,Yes,Yes,Henry,20220803,Kaitlin,Kaitlin,20220913,,
60,-22.7516,113.5386,20220520,12:05:02,,,,91,Kaitlin,Yes,Yes,2,29,30,,RAW1,fixed,Yes,Yes,Yes,Yes,Kaitlin,20220803,Henry,Henry,20221014,,
