"sample","latitude","longitude","date","site","location","successful.count","broad.consolidated","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.sponges","broad.unconsolidated","broad.total.points.annotated","mean.relief","sd.relief"
"1",-22.6886,113.5539,20210520,"inNP.1","Point Cloates","Yes",0,0,1,0,1,57,59,NA,NA
"2",-22.6987,113.5214,20210520,"inNP.2","Point Cloates","Yes",0,0,0,1,0,49,50,NA,NA
"4",-22.7113,113.5415,20210520,"inNP.4","Point Cloates","Yes",0,0,0,2,2,58,62,NA,NA
"7",-22.7462,113.5314,20210520,"inNP.7","Point Cloates","Yes",0,0,5,0,0,43,48,NA,NA
"9",-22.6937,113.5389,20210520,"inNP.9","Point Cloates","Yes",0,1,10,6,22,13,52,NA,NA
"10",-22.6887,113.5238,20210520,"inNP.10","Point Cloates","Yes",0,0,0,0,0,62,62,NA,NA
"12",-22.7137,113.5364,20210520,"inNP.12","Point Cloates","Yes",0,1,7,3,16,31,58,NA,NA
"13",-22.7037,113.5389,20210520,"inNP.13","Point Cloates","Yes",0,3,1,8,8,38,58,NA,NA
"15",-22.7037,113.5188,20210520,"inNP.15","Point Cloates","Yes",0,0,2,2,0,52,56,NA,NA
"18",-22.6838,113.5489,20210520,"inNP.18","Point Cloates","Yes",0,0,5,19,6,24,54,NA,NA
"19",-22.7314,113.5313,20210520,"inNP.19","Point Cloates","Yes",0,2,4,5,13,28,52,NA,NA
"20",-22.7187,113.5265,20210520,"inNP.20","Point Cloates","Yes",0,0,2,7,9,36,54,NA,NA
"21",-22.6963,113.544,20210520,"inNP.21","Point Cloates","Yes",0,0,0,7,7,41,55,NA,NA
"22",-22.7438,113.5337,20210520,"inNP.22","Point Cloates","Yes",0,0,1,2,0,55,58,NA,NA
"24",-22.7113,113.5088,20210520,"inNP.24","Point Cloates","Yes",0,0,0,0,0,53,53,NA,NA
"25",-22.7262,113.4913,20210520,"outNP.1","Point Cloates","Yes",0,0,0,0,0,57,57,NA,NA
"26",-22.7388,113.5089,20210520,"outNP.2","Point Cloates","Yes",0,0,1,1,3,43,48,NA,NA
"27",-22.7635,113.4964,20210519,"outNP.3","Point Cloates","Yes",0,0,0,0,0,60,60,NA,NA
"28",-22.7585,113.4762,20210519,"outNP.4","Point Cloates","Yes",0,0,0,0,0,43,43,NA,NA
"29",-22.7758,113.494,20210519,"outNP.5","Point Cloates","Yes",0,0,1,1,5,46,53,NA,NA
"30",-22.7887,113.4839,20210519,"outNP.6","Point Cloates","Yes",0,1,2,0,0,50,53,NA,NA
