"sample","latitude","longitude","date","site","location","successful.count","broad.bryozoa","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.sponges","broad.unconsolidated","broad.total.points.annotated","mean.relief","sd.relief"
"17",-22.7757,113.5195,20210518,"outNP.5","Point Cloates","Yes",1,4,6,7,5,15,38,NA,NA
"22",-22.7812,113.4964,20210518,"outNP.10","Point Cloates","Yes",0,0,7,3,11,26,47,NA,NA
"25",-22.7937,113.4939,20210518,"outNP.13","Point Cloates","Yes",0,2,2,3,4,38,49,NA,NA
"15",-22.7461,113.5138,20210518,"outNP.3","Point Cloates","Yes",2,1,3,2,6,34,48,NA,NA
"7",-22.7287,113.5365,20210518,"inNP.7","Point Cloates","Yes",0,0,4,0,1,46,51,NA,NA
"13",-22.7963,113.5041,20210518,"outNP.1","Point Cloates","Yes",3,1,6,6,4,31,51,NA,NA
"12",-22.7262,113.5214,20210518,"inNP.12","Point Cloates","Yes",1,3,3,1,4,36,48,NA,NA
"16",-22.7812,113.5115,20210518,"outNP.4","Point Cloates","Yes",0,2,5,2,3,42,54,NA,NA
"21",-22.7563,113.5189,20210518,"outNP.9","Point Cloates","Yes",0,1,6,13,4,15,39,NA,NA
"6",-22.721,113.5465,20210518,"inNP.6","Point Cloates","Yes",0,0,0,2,0,47,49,NA,NA
"2",-22.7108,113.5386,20210518,"inNP.2","Point Cloates","Yes",2,4,4,10,5,20,45,NA,NA
"3",-22.7087,113.5263,20210518,"inNP.3","Point Cloates","Yes",0,0,6,5,6,26,43,NA,NA
"1",-22.696,113.5315,20210518,"inNP.1","Point Cloates",NA,0,1,5,1,11,30,48,NA,NA
"4",-22.6937,113.5413,20210518,"inNP.4","Point Cloates","Yes",0,1,4,10,3,27,45,NA,NA
"27",-22.7027,113.556,20210518,NA,"Point Cloates","Yes",0,1,4,12,2,27,46,NA,NA
"8",-22.6884,113.5563,20210518,"inNP.8","Point Cloates","Yes",0,2,0,0,0,47,49,NA,NA
"11",-22.6761,113.5387,20210518,"inNP.11","Point Cloates","Yes",1,1,9,2,3,29,45,NA,NA
"10",-22.6734,113.524,20210518,"inNP.10","Point Cloates","Yes",1,1,0,0,0,52,54,NA,NA
"5",-22.6837,113.5139,20210519,"inNP.5","Point Cloates","Yes",0,0,2,1,1,45,49,NA,NA
"9",-22.6962,113.5064,20210519,"inNP.9","Point Cloates","Yes",0,0,1,0,0,46,47,NA,NA
"18",-22.7311,113.4913,20210519,"outNP.6","Point Cloates","Yes",0,0,0,0,0,31,31,NA,NA
"23",-22.7362,113.4887,20210519,"outNP.11","Point Cloates","Yes",0,0,0,0,0,46,46,NA,NA
"14",-22.7413,113.4991,20210519,"outNP.2","Point Cloates","Yes",0,0,0,1,0,46,47,NA,NA
"19",-22.7437,113.484,20210519,"outNP.7","Point Cloates","Yes",0,0,0,0,0,29,29,NA,NA
"26",-22.7537,113.4763,20210519,"outNP.14","Point Cloates","Yes",0,0,0,0,0,29,29,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
