"sample","latitude","longitude","date","site","location","successful.count","broad.bryozoa","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.sponges","broad.unconsolidated","mean.relief","sd.relief"
"17",-22.7757,113.5195,20210518,"outNP.5","Point Cloates","Yes",2.63157894736842,10.5263157894737,15.7894736842105,18.4210526315789,13.1578947368421,39.4736842105263,NA,NA
"22",-22.7812,113.4964,20210518,"outNP.10","Point Cloates","Yes",0,0,14.8936170212766,6.38297872340426,23.4042553191489,55.3191489361702,NA,NA
"25",-22.7937,113.4939,20210518,"outNP.13","Point Cloates","Yes",0,4.08163265306122,4.08163265306122,6.12244897959184,8.16326530612245,77.5510204081633,NA,NA
"15",-22.7461,113.5138,20210518,"outNP.3","Point Cloates","Yes",4.16666666666667,2.08333333333333,6.25,4.16666666666667,12.5,70.8333333333333,NA,NA
"7",-22.7287,113.5365,20210518,"inNP.7","Point Cloates","Yes",0,0,7.84313725490196,0,1.96078431372549,90.1960784313726,NA,NA
"13",-22.7963,113.5041,20210518,"outNP.1","Point Cloates","Yes",5.88235294117647,1.96078431372549,11.7647058823529,11.7647058823529,7.84313725490196,60.7843137254902,NA,NA
"12",-22.7262,113.5214,20210518,"inNP.12","Point Cloates","Yes",2.08333333333333,6.25,6.25,2.08333333333333,8.33333333333333,75,NA,NA
"16",-22.7812,113.5115,20210518,"outNP.4","Point Cloates","Yes",0,3.7037037037037,9.25925925925926,3.7037037037037,5.55555555555556,77.7777777777778,NA,NA
"21",-22.7563,113.5189,20210518,"outNP.9","Point Cloates","Yes",0,2.56410256410256,15.3846153846154,33.3333333333333,10.2564102564103,38.4615384615385,NA,NA
"6",-22.721,113.5465,20210518,"inNP.6","Point Cloates","Yes",0,0,0,4.08163265306122,0,95.9183673469388,NA,NA
"2",-22.7108,113.5386,20210518,"inNP.2","Point Cloates","Yes",4.44444444444444,8.88888888888889,8.88888888888889,22.2222222222222,11.1111111111111,44.4444444444444,NA,NA
"3",-22.7087,113.5263,20210518,"inNP.3","Point Cloates","Yes",0,0,13.953488372093,11.6279069767442,13.953488372093,60.4651162790698,NA,NA
"1",-22.696,113.5315,20210518,"inNP.1","Point Cloates",NA,0,2.08333333333333,10.4166666666667,2.08333333333333,22.9166666666667,62.5,NA,NA
"4",-22.6937,113.5413,20210518,"inNP.4","Point Cloates","Yes",0,2.22222222222222,8.88888888888889,22.2222222222222,6.66666666666667,60,NA,NA
"27",-22.7027,113.556,20210518,NA,"Point Cloates","Yes",0,2.17391304347826,8.69565217391304,26.0869565217391,4.34782608695652,58.695652173913,NA,NA
"8",-22.6884,113.5563,20210518,"inNP.8","Point Cloates","Yes",0,4.08163265306122,0,0,0,95.9183673469388,NA,NA
"11",-22.6761,113.5387,20210518,"inNP.11","Point Cloates","Yes",2.22222222222222,2.22222222222222,20,4.44444444444444,6.66666666666667,64.4444444444444,NA,NA
"10",-22.6734,113.524,20210518,"inNP.10","Point Cloates","Yes",1.85185185185185,1.85185185185185,0,0,0,96.2962962962963,NA,NA
"5",-22.6837,113.5139,20210519,"inNP.5","Point Cloates","Yes",0,0,4.08163265306122,2.04081632653061,2.04081632653061,91.8367346938776,NA,NA
