"sample","latitude","longitude","date","site","location","successful.count","detailed.bryozoa.bryozoa.cnidariamatrix.","detailed.invertebratecomplex.complex1.","detailed.octocoral.black.branching.3d.","detailed.octocoral.black.fan.2d.","detailed.octocoral.black.whip.","detailed.sponges.erectforms.","detailed.sponges.hollowforms.","detailed.sponges.massiveforms.","detailed.sponges.smallmixed.","detailed.unconsolidated.pebble.gravel.biogenic.","detailed.unconsolidated.pebble.gravel.gravel2.10mm.","detailed.unconsolidated.sand.mud.coarsesand.","detailed.unconsolidated.sand.mud.finesand.","mean.relief","sd.relief"
"17",-22.7757,113.5195,20210518,"outNP.5","Point Cloates","Yes",2.94117647058824,17.6470588235294,17.6470588235294,2.94117647058824,0,2.94117647058824,2.94117647058824,8.82352941176471,0,0,0,2.94117647058824,41.1764705882353,NA,NA
"22",-22.7812,113.4964,20210518,"outNP.10","Point Cloates","Yes",0,14.8936170212766,6.38297872340426,0,0,4.25531914893617,2.12765957446809,17.0212765957447,0,0,0,0,55.3191489361702,NA,NA
"25",-22.7937,113.4939,20210518,"outNP.13","Point Cloates","Yes",0,4.25531914893617,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,0,6.38297872340426,0,0,0,2.12765957446809,78.7234042553192,NA,NA
"15",-22.7461,113.5138,20210518,"outNP.3","Point Cloates","Yes",4.25531914893617,6.38297872340426,4.25531914893617,0,0,2.12765957446809,2.12765957446809,8.51063829787234,0,0,0,4.25531914893617,68.0851063829787,NA,NA
"7",-22.7287,113.5365,20210518,"inNP.7","Point Cloates","Yes",0,7.84313725490196,0,0,0,1.96078431372549,0,0,0,0,0,0,90.1960784313726,NA,NA
"13",-22.7963,113.5041,20210518,"outNP.1","Point Cloates","Yes",0,14.2857142857143,14.2857142857143,0,0,2.38095238095238,0,7.14285714285714,0,0,7.14285714285714,26.1904761904762,28.5714285714286,NA,NA
"12",-22.7262,113.5214,20210518,"inNP.12","Point Cloates","Yes",2.22222222222222,6.66666666666667,0,0,2.22222222222222,0,0,8.88888888888889,0,0,0,0,80,NA,NA
"16",-22.7812,113.5115,20210518,"outNP.4","Point Cloates","Yes",0,8,4,0,0,0,0,6,0,0,14,2,66,NA,NA
"21",-22.7563,113.5189,20210518,"outNP.9","Point Cloates","Yes",0,15.7894736842105,15.7894736842105,15.7894736842105,2.63157894736842,2.63157894736842,7.89473684210526,0,0,0,0,0,39.4736842105263,NA,NA
"6",-22.721,113.5465,20210518,"inNP.6","Point Cloates","Yes",0,0,4.08163265306122,0,0,0,0,0,0,0,14.2857142857143,0,81.6326530612245,NA,NA
"2",-22.7108,113.5386,20210518,"inNP.2","Point Cloates","Yes",5.12820512820513,5.12820512820513,5.12820512820513,12.8205128205128,7.69230769230769,2.56410256410256,0,7.69230769230769,2.56410256410256,0,0,2.56410256410256,48.7179487179487,NA,NA
"3",-22.7087,113.5263,20210518,"inNP.3","Point Cloates","Yes",0,13.953488372093,4.65116279069767,6.97674418604651,0,6.97674418604651,0,6.97674418604651,0,0,0,13.953488372093,46.5116279069767,NA,NA
"1",-22.696,113.5315,20210518,"inNP.1","Point Cloates",NA,0,10.6382978723404,2.12765957446809,0,0,2.12765957446809,0,21.2765957446809,0,0,0,2.12765957446809,61.7021276595745,NA,NA
"4",-22.6937,113.5413,20210518,"inNP.4","Point Cloates","Yes",0,9.09090909090909,9.09090909090909,9.09090909090909,4.54545454545455,0,0,6.81818181818182,0,0,0,4.54545454545455,56.8181818181818,NA,NA
"27",-22.7027,113.556,20210518,NA,"Point Cloates","Yes",0,8.88888888888889,13.3333333333333,11.1111111111111,2.22222222222222,0,4.44444444444444,0,0,0,0,0,60,NA,NA
"8",-22.6884,113.5563,20210518,"inNP.8","Point Cloates","Yes",0,0,0,0,0,0,0,0,0,0,0,0,100,NA,NA
"11",-22.6761,113.5387,20210518,"inNP.11","Point Cloates","Yes",0,20.9302325581395,2.32558139534884,0,2.32558139534884,4.65116279069767,0,2.32558139534884,0,0,0,0,67.4418604651163,NA,NA
"10",-22.6734,113.524,20210518,"inNP.10","Point Cloates","Yes",1.88679245283019,0,0,0,0,0,0,0,0,0,0,1.88679245283019,96.2264150943396,NA,NA
"5",-22.6837,113.5139,20210519,"inNP.5","Point Cloates","Yes",0,4.08163265306122,0,2.04081632653061,0,2.04081632653061,0,0,0,0,2.04081632653061,0,89.7959183673469,NA,NA
"9",-22.6962,113.5064,20210519,"inNP.9","Point Cloates","Yes",0,2.12765957446809,0,0,0,0,0,0,0,0,2.12765957446809,0,95.7446808510638,NA,NA
"18",-22.7311,113.4913,20210519,"outNP.6","Point Cloates","Yes",0,0,0,0,0,0,0,0,0,0,0,0,100,NA,NA
"23",-22.7362,113.4887,20210519,"outNP.11","Point Cloates","Yes",0,0,0,0,0,0,0,0,0,0,2.17391304347826,36.9565217391304,60.8695652173913,NA,NA
"14",-22.7413,113.4991,20210519,"outNP.2","Point Cloates","Yes",0,0,2.17391304347826,0,0,0,0,0,0,0,0,34.7826086956522,63.0434782608696,NA,NA
"19",-22.7437,113.484,20210519,"outNP.7","Point Cloates","Yes",0,0,0,0,0,0,0,0,0,0,0,0,100,NA,NA
