"sample","campaignid","relief.rank"
"1","2021-05_PtCloates_stereo-BRUVS",3
"1","2021-05_PtCloates_stereo-BRUVS",2
"1","2021-05_PtCloates_stereo-BRUVS",3
"1","2021-05_PtCloates_stereo-BRUVS",1
"1","2021-05_PtCloates_stereo-BRUVS",3
"1","2021-05_PtCloates_stereo-BRUVS",2
"1","2021-05_PtCloates_stereo-BRUVS",3
"1","2021-05_PtCloates_stereo-BRUVS",2
"1","2021-05_PtCloates_stereo-BRUVS",1
"1","2021-05_PtCloates_stereo-BRUVS",2
"1","2021-05_PtCloates_stereo-BRUVS",1
"10","2021-05_PtCloates_stereo-BRUVS",0
"10","2021-05_PtCloates_stereo-BRUVS",0
"10","2021-05_PtCloates_stereo-BRUVS",0
"10","2021-05_PtCloates_stereo-BRUVS",0
"10","2021-05_PtCloates_stereo-BRUVS",0
"10","2021-05_PtCloates_stereo-BRUVS",0
"10","2021-05_PtCloates_stereo-BRUVS",0
"10","2021-05_PtCloates_stereo-BRUVS",0
"10","2021-05_PtCloates_stereo-BRUVS",0
"10","2021-05_PtCloates_stereo-BRUVS",0
"11","2021-05_PtCloates_stereo-BRUVS",3
"11","2021-05_PtCloates_stereo-BRUVS",2
"11","2021-05_PtCloates_stereo-BRUVS",2
"11","2021-05_PtCloates_stereo-BRUVS",1
"11","2021-05_PtCloates_stereo-BRUVS",2
"11","2021-05_PtCloates_stereo-BRUVS",2
"11","2021-05_PtCloates_stereo-BRUVS",2
"11","2021-05_PtCloates_stereo-BRUVS",1
"11","2021-05_PtCloates_stereo-BRUVS",2
"11","2021-05_PtCloates_stereo-BRUVS",1
"12","2021-05_PtCloates_stereo-BRUVS",0
"12","2021-05_PtCloates_stereo-BRUVS",1
"12","2021-05_PtCloates_stereo-BRUVS",0
"12","2021-05_PtCloates_stereo-BRUVS",1
"12","2021-05_PtCloates_stereo-BRUVS",0
"12","2021-05_PtCloates_stereo-BRUVS",1
"12","2021-05_PtCloates_stereo-BRUVS",1
"12","2021-05_PtCloates_stereo-BRUVS",1
"12","2021-05_PtCloates_stereo-BRUVS",1
"13","2021-05_PtCloates_stereo-BRUVS",2
