"","sample","latitude","longitude","date","site","location","depth","successful.count","rock","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.sponges","sand","broad.total.points.annotated","mean.relief","sd.relief","method","campaignid","broad.bryozoa","ID","Z","slope","aspect","TPI","TRI","roughness","detrended","lineartrend","inverts"
"1","1",-22.6886,113.5539,20210520,"inNP.1","Point Cloates",93.6,"Yes",0,0,1,0,1,57,59,0.292682926829268,0.512049921346757,"BOSS",NA,0,1,-95.297248840332,1.02073475122099,288.801883412989,-0.763945579528809,3.36089420318604,11.0271301269531,7.75635719299316,-103.053604125977,2
"2","2",-22.6987,113.5214,20210520,"inNP.2","Point Cloates",167,"Yes",0,0,0,1,0,49,50,0.333333333333333,0.479463301485384,"BOSS",NA,0,2,-170.643112182617,2.60303458191482,295.953012979324,-0.522331237792969,8.56584167480469,29.0761108398438,-19.1611194610596,-151.481994628906,1
"3","4",-22.7113,113.5415,20210520,"inNP.4","Point Cloates",100,"Yes",0,0,0,2,2,58,62,0.414634146341463,0.546608166610121,"BOSS",NA,0,3,-103.91429901123,0.74998932736596,285.540351229898,0.112336158752441,2.46031093597412,8.00346374511719,10.1899728775024,-114.104270935059,4
"4","7",-22.7462,113.5314,20210520,"inNP.7","Point Cloates",99.6,"Yes",0,0,5,0,0,43,48,0.0512820512820513,0.223455865030959,"BOSS",NA,0,4,-101.825866699219,0.776152766034666,291.360020718508,0.122832298278809,2.57145595550537,8.30834197998047,8.45320224761963,-110.279067993164,5
"5","9",-22.6937,113.5389,20210520,"inNP.9","Point Cloates",114,"Yes",0,1,10,6,22,13,52,1.55,0.638507875982989,"BOSS",NA,0,5,-118.742195129395,1.16214300863438,290.392860928097,0.227740287780762,3.81999492645264,12.920036315918,8.70244598388672,-127.444641113281,39
"6","10",-22.6887,113.5238,20210520,"inNP.10","Point Cloates",176,"Yes",0,0,0,0,0,62,62,0,0,"BOSS",NA,0,6,-179.692291259766,NA,NA,NA,NA,NA,-27.2189540863037,-152.473342895508,0
"7","12",-22.7137,113.5364,20210520,"inNP.12","Point Cloates",107,"Yes",0,1,7,3,16,31,58,0.975,0.35716117169158,"BOSS",NA,0,7,-109.846206665039,0.962352804848273,285.005757098381,0.178868293762207,3.19513988494873,9.72494506835938,10.4596252441406,-120.30583190918,27
"8","13",-22.7037,113.5389,20210520,"inNP.13","Point Cloates",107,"Yes",0,3,1,8,8,38,58,0.775,0.53048115556564,"BOSS",NA,0,8,-112.41463470459,1.17318924757026,286.897539538058,-0.164198875427246,3.90576457977295,11.886833190918,10.2482852935791,-122.66291809082,20
"9","15",-22.7037,113.5188,20210520,"inNP.15","Point Cloates",168,"Yes",0,0,2,2,0,52,56,0.393939393939394,0.496197663448873,"BOSS",NA,0,9,-170.295928955078,2.61885514234672,294.435873686016,-0.442955017089844,8.61354446411133,28.7461853027344,-17.6049537658691,-152.690979003906,4
"10","18",-22.6838,113.5489,20210520,"inNP.18","Point Cloates",102,"Yes",0,0,5,19,6,24,54,1.30769230769231,1.02991686312016,"BOSS",NA,0,10,-103.813636779785,0.977132427695184,289.101224030129,0.263937950134277,3.21734523773193,10.4720687866211,9.05918312072754,-112.872817993164,30
