campaignid,sample,broad.ascidians,broad.bryozoa,broad.consolidated,broad.crinoids,broad.hydroids,broad.invertebrate.complex,broad.macroalgae,broad.octocoral.black,broad.reef,broad.seagrasses,broad.sponges,broad.stony.corals,broad.total.points.annotated,broad.true.anemones,broad.unconsolidated,fov.facing.up,fov.limited,fov.open,mean.relief,method,sd.relief,planned.or.exploratory,latitude,longitude,date,time,location,site,depth,successful.count,successful.length,commonwealth.zone,state.zone,status
2020-10_south-west_stereo-BRUVs,FH10,0,0,12,0,0,0,13,0,31,5,1,0,32,0,1,0,2,38,2.541666667,BRUV,0.508977378,MBH,-33.98618897,114.8863721,20201013,12:32:00,South-west,C.FH.24,42.9,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH102,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,0,2,38,0.185185185,BRUV,0.395847391,MBH,-33.68868897,114.9288721,20201017,6:42:00,South-west,C.FH.3,44.1,Yes,Yes,NA,Injidup Sanctuary Zone,No-take
2020-10_south-west_stereo-BRUVs,FH106,0,0,6,0,0,0,19,0,25,0,0,0,31,0,6,0,3,37,2.173913043,BRUV,0.576208131,MBH,-33.78868897,114.8163721,20201012,13:16:00,South-west,C.FH.12,47.1,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH108,1,0,2,0,0,0,15,0,18,0,0,0,32,0,14,0,3,37,1.695652174,BRUV,0.558795995,MBH,-33.76118897,114.9238721,20201017,9:32:00,South-west,C.FH.9,44.7,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH109,0,0,4,0,0,0,10,0,32,7,11,0,36,0,4,0,3,33,2.6,BRUV,0.598243042,MBH,-33.91618897,114.9088721,20201029,13:04:00,South-west,C.FH.20,45.9,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH11,0,1,2,0,0,0,1,0,10,0,6,0,28,0,18,0,3,37,1.52,BRUV,1.357694124,MBH,-33.89868897,114.9388721,20201029,14:48:00,South-west,C.FH.18,42.3,Yes,Yes,NA,NA,Fished
2020-10_south-west_stereo-BRUVs,FH110,0,0,5,0,0,0,3,0,14,1,5,0,26,0,12,0,2,38,2,BRUV,0.9258201,MBH,-33.80868897,114.8213721,20201012,15:06:00,South-west,C.FH.13,44.7,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH111,0,0,2,0,0,0,11,0,16,3,0,0,37,0,21,0,1,39,1.72,BRUV,0.842614977,MBH,-33.98618897,114.8788721,20201013,12:28:00,South-west,C.FH.24,41.4,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH113,0,0,8,0,0,0,9,0,32,12,3,0,33,0,1,0,1,39,2.666666667,BRUV,0.481543412,MBH,-33.72368897,114.7963721,20201012,12:41:00,South-west,C.FH.7,45,Yes,No,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH12,0,0,2,0,0,0,18,0,26,4,2,0,30,0,4,0,3,37,2.15,BRUV,0.366347549,MBH,-33.91868897,114.8963721,20201029,12:46:00,South-west,C.FH.21,46.1,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH14,0,0,7,0,0,0,15,0,23,0,1,0,34,0,11,0,3,37,1.888888889,BRUV,0.506369684,MBH,-33.76618897,114.8713721,20201017,11:24:00,South-west,C.FH.10,44.4,Yes,No,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH15,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0,2,38,0,BRUV,0,MBH,-33.68868897,114.8063721,20201012,10:29:00,South-west,C.FH.4,48,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH16,0,0,5,0,0,0,12,0,26,8,1,0,34,0,8,0,4,36,2.46875,BRUV,0.567073699,MBH,-33.90118897,114.8563721,20201013,8:02:00,South-west,C.FH.19,43.1,Yes,check calibration,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH17,0,0,1,0,0,0,17,0,22,0,4,0,35,0,13,0,2,38,1.846153846,BRUV,0.464095481,MBH,-33.83368897,114.8763721,20201012,15:35:00,South-west,C.FH.14,42.9,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH18,0,0,3,0,0,0,9,0,12,0,0,0,22,0,10,0,2,38,2,BRUV,0.794719414,MBH,-33.79118897,114.8213721,20201012,13:19:00,South-west,C.FH.12,43.5,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH2,0,0,4,0,0,0,3,0,15,7,1,0,21,0,6,0,5,35,2.4,BRUV,0.707106781,MBH,-33.91868897,114.8913721,20201029,12:43:00,South-west,C.FH.21,43.9,Yes,No,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH20,0,0,8,0,0,0,9,0,18,1,0,0,30,0,12,0,0,40,2.05,BRUV,0.604805319,MBH,-33.78618897,114.8738721,20201017,11:40:00,South-west,C.FH.11,43.1,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH21,0,0,10,0,0,0,16,0,35,5,4,0,37,0,2,0,1,39,2.64,BRUV,0.489897949,MBH,-33.79368897,114.8088721,20201012,13:26:00,South-west,C.FH.12,45,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH23,0,0,8,0,0,0,2,0,20,10,0,0,29,0,9,0,7,33,2.48,BRUV,0.653197265,MBH,-33.94618897,114.8288721,20201013,9:51:00,South-west,C.FH.22,44.2,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH24,0,0,1,0,0,0,11,0,13,0,1,0,35,0,22,0,1,39,1.6,BRUV,0.50262469,MBH,-33.66868897,114.8438721,20201012,7:55:00,South-west,C.FH.1,47.6,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH25,0,3,6,0,0,0,7,0,24,5,3,0,32,0,8,0,1,37,2.32,BRUV,0.690410506,MBH,-33.87868897,114.8163721,20201013,7:34:00,South-west,C.FH.16,45.4,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
