"sample","latitude","longitude","date","site","location","depth","successful.count","campaignid","broad.bryozoa","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.sponges","broad.unconsolidated","mean.relief","sd.relief"
"17",-22.7757,113.5195,20210518,"outNP.5","Point Cloates",104,"Yes","2021-05_PtCloates_stereo-BRUVS",0,4.76190476190476,23.8095238095238,9.52380952380952,23.8095238095238,38.0952380952381,1.26315789473684,0.805681579172283
"22",-22.7812,113.4964,20210518,"outNP.10","Point Cloates",138,"Yes","2021-05_PtCloates_stereo-BRUVS",0,0,21.4285714285714,3.57142857142857,14.2857142857143,60.7142857142857,1.05263157894737,0.779863535820802
"25",-22.7937,113.4939,20210518,"outNP.13","Point Cloates",135,"Yes","2021-05_PtCloates_stereo-BRUVS",0,6.66666666666667,3.33333333333333,3.33333333333333,6.66666666666667,80,0.684210526315789,0.582392725357819
"15",-22.7461,113.5138,20210518,"outNP.3","Point Cloates",130,"Yes","2021-05_PtCloates_stereo-BRUVS",0,0,10.7142857142857,7.14285714285714,21.4285714285714,60.7142857142857,0.85,0.670820393249937
"7",-22.7287,113.5365,20210518,"inNP.7","Point Cloates",100,"Yes","2021-05_PtCloates_stereo-BRUVS",0,0,8.57142857142857,0,0,91.4285714285714,0.15,0.366347548532523
"13",-22.7963,113.5041,20210518,"outNP.1","Point Cloates",116,"Yes","2021-05_PtCloates_stereo-BRUVS",9.375,3.125,18.75,18.75,12.5,37.5,1.45,0.825577947481897
"12",-22.7262,113.5214,20210518,"inNP.12","Point Cloates",126,"Yes","2021-05_PtCloates_stereo-BRUVS",0,10.7142857142857,10.7142857142857,3.57142857142857,14.2857142857143,60.7142857142857,0.944444444444444,0.53930480546961
"16",-22.7812,113.5115,20210518,"outNP.4","Point Cloates",111,"Yes","2021-05_PtCloates_stereo-BRUVS",0,5.71428571428571,11.4285714285714,5.71428571428571,8.57142857142857,68.5714285714286,1.0952380952381,0.943650459903555
"21",-22.7563,113.5189,20210518,"outNP.9","Point Cloates",112,"Yes","2021-05_PtCloates_stereo-BRUVS",0,0,18.1818181818182,27.2727272727273,13.6363636363636,40.9090909090909,1.28571428571429,0.643650304346789
"6",-22.721,113.5465,20210518,"inNP.6","Point Cloates",88.5,"Yes","2021-05_PtCloates_stereo-BRUVS",0,0,0,6.89655172413793,0,93.1034482758621,0.125,0.337831962346088
"2",-22.7108,113.5386,20210518,"inNP.2","Point Cloates",104,"Yes","2021-05_PtCloates_stereo-BRUVS",0,12,4,24,0,60,0.842105263157895,0.688247201611685
"3",-22.7087,113.5263,20210518,"inNP.3","Point Cloates",129,"Yes","2021-05_PtCloates_stereo-BRUVS",0,0,26.0869565217391,21.7391304347826,26.0869565217391,26.0869565217391,1.4375,0.51234753829798
"1",-22.696,113.5315,20210518,"inNP.1","Point Cloates",129,NA,"2021-05_PtCloates_stereo-BRUVS",0,0,16.6666666666667,3.33333333333333,36.6666666666667,43.3333333333333,2,0.794719414239026
"4",-22.6937,113.5413,20210518,"inNP.4","Point Cloates",110,"Yes","2021-05_PtCloates_stereo-BRUVS",0,4,12,40,12,32,1.11111111111111,0.676399541594523
"27",-22.7027,113.556,20210518,NA,"Point Cloates",77.8,"Yes","2021-05_PtCloates_stereo-BRUVS",0,3.57142857142857,14.2857142857143,42.8571428571429,7.14285714285714,32.1428571428571,1.33333333333333,0.795822425754221
"8",-22.6884,113.5563,20210518,"inNP.8","Point Cloates",89.3,"Yes","2021-05_PtCloates_stereo-BRUVS",0,6.45161290322581,0,0,0,93.5483870967742,0,0
"11",-22.6761,113.5387,20210518,"inNP.11","Point Cloates",139,"Yes","2021-05_PtCloates_stereo-BRUVS",3.84615384615385,3.84615384615385,30.7692307692308,7.69230769230769,11.5384615384615,42.3076923076923,1.63157894736842,0.597264720370147
"10",-22.6734,113.524,20210518,"inNP.10","Point Cloates",197,"Yes","2021-05_PtCloates_stereo-BRUVS",0,0,0,0,0,100,0,0
"5",-22.6837,113.5139,20210519,"inNP.5","Point Cloates",206,"Yes","2021-05_PtCloates_stereo-BRUVS",0,0,0,0,0,100,0,0
"9",-22.6962,113.5064,20210519,"inNP.9","Point Cloates",207,"Yes","2021-05_PtCloates_stereo-BRUVS",0,0,0,0,0,100,0,0
"18",-22.7311,113.4913,20210519,"outNP.6","Point Cloates",204,"Yes","2021-05_PtCloates_stereo-BRUVS",0,0,0,0,0,100,0,0
"23",-22.7362,113.4887,20210519,"outNP.11","Point Cloates",204,"Yes","2021-05_PtCloates_stereo-BRUVS",0,0,0,0,0,100,0,0
"14",-22.7413,113.4991,20210519,"outNP.2","Point Cloates",179,"Yes","2021-05_PtCloates_stereo-BRUVS",0,0,0,3.33333333333333,0,96.6666666666667,0.105263157894737,0.315301767642306
"19",-22.7437,113.484,20210519,"outNP.7","Point Cloates",206,"Yes","2021-05_PtCloates_stereo-BRUVS",0,0,0,0,0,100,0,0
"26",-22.7537,113.4763,20210519,"outNP.14","Point Cloates",209,"Yes","2021-05_PtCloates_stereo-BRUVS",0,0,0,0,0,100,0,0
"54",-22.7654,113.5392,20220520,NA,NA,83.1,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,0,7.69230769230769,3.84615384615385,88.4615384615385,0.478260869565217,0.510753918455249
"52",-22.7635,113.5348,20220520,NA,NA,91,"Yes","2022-05_PtCloates_stereo-BRUVS",0,6.66666666666667,6.66666666666667,3.33333333333333,3.33333333333333,80,0.291666666666667,0.464305621487537
"26",-22.7615,113.5484,20220520,NA,NA,77.2,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,0,0,0,100,0,0
"45",-22.7602,113.5432,20220520,NA,NA,81.8,"Yes","2022-05_PtCloates_stereo-BRUVS",0,3.2258064516129,3.2258064516129,16.1290322580645,9.67741935483871,67.741935483871,1,0.645497224367903
"7",-22.7574,113.5382,20220520,NA,NA,89.3,"Yes","2022-05_PtCloates_stereo-BRUVS",0,3.03030303030303,3.03030303030303,0,3.03030303030303,90.9090909090909,0.12,0.33166247903554
"55",-22.7564,113.529,20220520,NA,NA,89.1,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,3.125,21.875,31.25,43.75,1.1304347826087,0.45769658728016
"56",-22.7534,113.5302,20220520,NA,NA,99.8,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,0,0,6.25,93.75,0.08,0.276887462097269
"31",-22.7542,113.5424,20220520,NA,NA,82.3,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,8.57142857142857,5.71428571428571,5.71428571428571,80,0.208333333333333,0.414851116999053
"40",-22.7522,113.5444,20220520,NA,NA,84.1,"Yes","2022-05_PtCloates_stereo-BRUVS",0,3.44827586206897,0,3.44827586206897,0,93.1034482758621,0.08,0.276887462097269
"60",-22.7516,113.5386,20220520,NA,NA,91,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,0,8.33333333333333,8.33333333333333,83.3333333333333,0.5,0.606976978666884
"12",-22.7505,113.5476,20220520,NA,NA,80.5,"Yes","2022-05_PtCloates_stereo-BRUVS",2.85714285714286,0,2.85714285714286,0,5.71428571428571,88.5714285714286,0.3,0.470162345981627
"44",-22.7482,113.549,20220520,NA,NA,79.4,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,0,0,0,100,0.04,0.2
"37",-22.7475,113.5445,20220520,NA,NA,81.3,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,0,27.7777777777778,50,22.2222222222222,1.76,0.597215762238964
"6",-22.7459,113.5531,20220520,NA,NA,74.3,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,0,0,0,100,0,0
"59",-22.7437,113.5452,20220520,NA,NA,83.5,"Yes","2022-05_PtCloates_stereo-BRUVS",0,6.89655172413793,6.89655172413793,3.44827586206897,10.3448275862069,72.4137931034483,0.5,0.510753918455249
"24",-22.7426,113.5507,20220520,NA,NA,79.3,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,0,2.85714285714286,0,97.1428571428571,0.08,0.276887462097269
"16",-22.7406,113.5395,20220520,NA,NA,93.2,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,3.44827586206897,0,0,96.551724137931,0,0
"62",-22.7375,113.542,20220520,NA,NA,90.1,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,2.63157894736842,10.5263157894737,21.0526315789474,65.7894736842105,0.739130434782609,0.688700443150182
"23",-22.734,113.542,20220520,NA,NA,91.4,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,0,0,0,100,0,0
"49",-22.7309,113.5443,20220520,NA,NA,89.5,"No","2022-05_PtCloates_stereo-BRUVS",0,0,7.14285714285714,14.2857142857143,0,78.5714285714286,0.2,0.414039335605413
"36",-22.7318,113.5477,20220520,NA,NA,83.2,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,0,2.56410256410256,0,97.4358974358974,0.04,0.2
"64",-22.7343,113.5508,20220520,NA,NA,79.2,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,3.125,12.5,3.125,81.25,0.44,0.506622805119022
"3",-22.7379,113.5515,20220520,NA,NA,78.3,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,0,0,0,100,0.04,0.2
"4",-22.7337,113.5555,20220520,NA,NA,73.9,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,2.63157894736842,5.26315789473684,0,92.1052631578947,0.2,0.406838102172486
"43",-22.7328,113.5589,20220522,NA,NA,70.6,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,0,7.14285714285714,7.14285714285714,85.7142857142857,0.5,0.760885910252682
"8",-22.7298,113.5538,20220522,NA,NA,76.4,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,0,0,0,100,0,0
"11",-22.7274,113.5498,20220522,NA,NA,81,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,2.94117647058824,0,0,97.0588235294118,0,0
"10",-22.7272,113.5424,20220522,NA,NA,94.7,"No","2022-05_PtCloates_stereo-BRUVS",3.03030303030303,6.06060606060606,3.03030303030303,0,0,87.8787878787879,0.16,0.374165738677394
"27",-22.7254,113.5459,20220522,NA,NA,90.4,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,3.03030303030303,0,0,96.969696969697,0.04,0.2
"32",-22.7239,113.5552,20220522,NA,NA,78.3,"Yes","2022-05_PtCloates_stereo-BRUVS",0,6.06060606060606,3.03030303030303,0,0,90.9090909090909,0.2,0.410391340834062
"20",-22.7212,113.5561,20220522,NA,NA,76,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,3.33333333333333,0,0,96.6666666666667,0.04,0.2
"5",-22.7218,113.5506,20220522,NA,NA,81.9,"Yes","2022-05_PtCloates_stereo-BRUVS",0,5.40540540540541,5.40540540540541,2.7027027027027,2.7027027027027,83.7837837837838,0.214285714285714,0.417855447018672
"1",-22.7221,113.5447,20220522,NA,NA,93.9,"Yes","2022-05_PtCloates_stereo-BRUVS",0,3.84615384615385,0,3.84615384615385,0,92.3076923076923,0.1,0.307793505625546
"33",-22.719,113.549,20220522,NA,NA,85.4,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,6.45161290322581,3.2258064516129,0,90.3225806451613,0,0
"50",-22.7173,113.5528,20220522,NA,NA,81.9,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,5.71428571428571,0,8.57142857142857,85.7142857142857,0.56,0.506622805119022
"41",-22.7154,113.5479,20220522,NA,NA,89.7,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,3.125,9.375,6.25,81.25,0.32,0.476095228569523
"18",-22.7101,113.5492,20220522,NA,NA,91.5,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,0,0,0,100,0,0
"39",-22.7105,113.5539,20220522,NA,NA,78.9,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,9.67741935483871,19.3548387096774,35.4838709677419,35.4838709677419,1.85,1.13670808176853
"22",-22.7072,113.5554,20220522,NA,NA,81.3,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,9.375,25,31.25,34.375,1.44,0.650640709864771
"30",-22.7058,113.5588,20220522,NA,NA,78.5,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,2.63157894736842,28.9473684210526,0,68.4210526315789,0.535714285714286,0.576203594236084
"58",-22.7056,113.5502,20220522,NA,NA,90.9,"Yes","2022-05_PtCloates_stereo-BRUVS",0,3.7037037037037,0,11.1111111111111,0,85.1851851851852,0.25,0.444261658319319
"25",-22.7053,113.5466,20220522,NA,NA,99.5,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,2.94117647058824,14.7058823529412,8.82352941176471,73.5294117647059,0.869565217391304,0.694415897524803
"17",-22.7011,113.5532,20220522,NA,NA,86.5,"Yes","2022-05_PtCloates_stereo-BRUVS",2.85714285714286,8.57142857142857,5.71428571428571,20,31.4285714285714,31.4285714285714,1.2,0.833508753466491
"35",-22.6987,113.551,20220522,NA,NA,94.6,"Yes","2022-05_PtCloates_stereo-BRUVS",0,3.03030303030303,3.03030303030303,3.03030303030303,0,90.9090909090909,0.16,0.374165738677394
"42",-22.6952,113.5537,20220522,NA,NA,92.3,"Yes","2022-05_PtCloates_stereo-BRUVS",0,2.63157894736842,0,7.89473684210526,0,89.4736842105263,0.12,0.33166247903554
"15",-22.6977,113.5561,20220522,NA,NA,83.9,"Yes","2022-05_PtCloates_stereo-BRUVS",6.25,3.125,0,6.25,0,84.375,0.36,0.489897948556636
"47",-22.6999,113.5592,20220522,NA,NA,80.8,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,3.03030303030303,0,0,96.969696969697,0.04,0.2
"28",-22.6987,113.5625,20220522,NA,NA,76.3,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,5.40540540540541,16.2162162162162,5.40540540540541,72.972972972973,0.833333333333333,0.56465970257328
"2",-22.6957,113.5628,20220522,NA,NA,77.3,"Yes","2022-05_PtCloates_stereo-BRUVS",5.88235294117647,2.94117647058824,8.82352941176471,44.1176470588235,23.5294117647059,14.7058823529412,1.83333333333333,1.00722031037067
