"sample","latitude","longitude","date","site","location","successful.count","detailed.bryozoa.bryozoa.cnidariamatrix.","detailed.invertebratecomplex.complex1.","detailed.octocoral.black.branching.3d.","detailed.octocoral.black.fan.2d.","detailed.octocoral.black.whip.","detailed.sponges.erectforms.","detailed.sponges.hollowforms.","detailed.sponges.massiveforms.","detailed.sponges.smallmixed.","detailed.unconsolidated.pebble.gravel.biogenic.","detailed.unconsolidated.pebble.gravel.gravel2.10mm.","detailed.unconsolidated.sand.mud.coarsesand.","detailed.unconsolidated.sand.mud.finesand.","mean.relief","sd.relief"
"17",-22.7757,113.5195,20210518,"outNP.5","Point Cloates","Yes",1.92307692307692,13.4615384615385,15.3846153846154,1.92307692307692,0,23.0769230769231,1.92307692307692,5.76923076923077,0,0,0,1.92307692307692,34.6153846153846,NA,NA
"22",-22.7812,113.4964,20210518,"outNP.10","Point Cloates","Yes",0,15,5,6.66666666666667,3.33333333333333,5,1.66666666666667,16.6666666666667,0,0,0,0,46.6666666666667,NA,NA
"25",-22.7937,113.4939,20210518,"outNP.13","Point Cloates","Yes",0,3.2258064516129,1.61290322580645,3.2258064516129,4.83870967741935,3.2258064516129,0,4.83870967741935,0,0,0,1.61290322580645,77.4193548387097,NA,NA
"15",-22.7461,113.5138,20210518,"outNP.3","Point Cloates","Yes",3.38983050847458,5.08474576271187,6.77966101694915,0,0,1.69491525423729,1.69491525423729,6.77966101694915,0,0,0,3.38983050847458,71.1864406779661,NA,NA
"7",-22.7287,113.5365,20210518,"inNP.7","Point Cloates","Yes",0,5.97014925373134,0,0,0,1.49253731343284,0,0,0,0,0,0,92.5373134328358,NA,NA
"13",-22.7963,113.5041,20210518,"outNP.1","Point Cloates","Yes",0,12,12,0,0,2,6,8,0,0,6,22,32,NA,NA
"12",-22.7262,113.5214,20210518,"inNP.12","Point Cloates","Yes",1.66666666666667,6.66666666666667,0,0,1.66666666666667,0,1.66666666666667,6.66666666666667,1.66666666666667,0,0,0,80,NA,NA
"16",-22.7812,113.5115,20210518,"outNP.4","Point Cloates","Yes",0,6.66666666666667,3.33333333333333,0,0,0,0,5,0,0,15,1.66666666666667,68.3333333333333,NA,NA
"21",-22.7563,113.5189,20210518,"outNP.9","Point Cloates","Yes",0,11.5384615384615,23.0769230769231,13.4615384615385,3.84615384615385,5.76923076923077,5.76923076923077,0,0,0,0,0,36.5384615384615,NA,NA
"6",-22.721,113.5465,20210518,"inNP.6","Point Cloates","Yes",0,0,3.44827586206897,0,0,0,0,0,0,0,12.0689655172414,0,84.4827586206897,NA,NA
"2",-22.7108,113.5386,20210518,"inNP.2","Point Cloates","Yes",3.77358490566038,3.77358490566038,7.54716981132075,26.4150943396226,5.66037735849057,7.54716981132075,0,5.66037735849057,1.88679245283019,0,0,1.88679245283019,35.8490566037736,NA,NA
"3",-22.7087,113.5263,20210518,"inNP.3","Point Cloates","Yes",0,10.7142857142857,3.57142857142857,5.35714285714286,0,5.35714285714286,0,5.35714285714286,0,0,1.78571428571429,10.7142857142857,57.1428571428571,NA,NA
"1",-22.696,113.5315,20210518,"inNP.1","Point Cloates",NA,0,9.09090909090909,3.63636363636364,0,0,1.81818181818182,0,18.1818181818182,0,0,0,1.81818181818182,65.4545454545455,NA,NA
"4",-22.6937,113.5413,20210518,"inNP.4","Point Cloates","Yes",0,6.45161290322581,9.67741935483871,6.45161290322581,3.2258064516129,0,0,4.83870967741935,0,0,1.61290322580645,3.2258064516129,64.5161290322581,NA,NA
"27",-22.7027,113.556,20210518,NA,"Point Cloates","Yes",0,8.33333333333333,10,8.33333333333333,1.66666666666667,0,3.33333333333333,0,0,0,0,0,68.3333333333333,NA,NA
"8",-22.6884,113.5563,20210518,"inNP.8","Point Cloates","Yes",0,0,0,0,0,0,0,0,0,0,1.75438596491228,0,98.2456140350877,NA,NA
"11",-22.6761,113.5387,20210518,"inNP.11","Point Cloates","Yes",0,15.5172413793103,1.72413793103448,0,1.72413793103448,3.44827586206897,0,1.72413793103448,0,0,0,0,75.8620689655172,NA,NA
"10",-22.6734,113.524,20210518,"inNP.10","Point Cloates","Yes",1.53846153846154,1.53846153846154,0,0,0,0,0,0,0,0,0,1.53846153846154,95.3846153846154,NA,NA
"5",-22.6837,113.5139,20210519,"inNP.5","Point Cloates","Yes",0,3.125,0,1.5625,0,1.5625,0,0,0,0,1.5625,0,92.1875,NA,NA
"9",-22.6962,113.5064,20210519,"inNP.9","Point Cloates","Yes",0,1.61290322580645,3.2258064516129,0,0,0,0,0,0,0,3.2258064516129,0,91.9354838709677,NA,NA
"18",-22.7311,113.4913,20210519,"outNP.6","Point Cloates","Yes",0,0,0,0,0,0,0,0,0,0,0,0,100,NA,NA
"23",-22.7362,113.4887,20210519,"outNP.11","Point Cloates","Yes",0,0,0,0,0,0,0,0,0,0,1.61290322580645,27.4193548387097,70.9677419354839,NA,NA
"14",-22.7413,113.4991,20210519,"outNP.2","Point Cloates","Yes",0,1.61290322580645,1.61290322580645,0,0,0,0,0,0,0,0,25.8064516129032,70.9677419354839,NA,NA
"19",-22.7437,113.484,20210519,"outNP.7","Point Cloates","Yes",0,0,2.27272727272727,15.9090909090909,0,0,2.27272727272727,6.81818181818182,0,0,0,0,72.7272727272727,NA,NA
"26",-22.7537,113.4763,20210519,"outNP.14","Point Cloates","Yes",0,0,0,0,0,0,0,0,0,0,2.17391304347826,41.304347826087,56.5217391304348,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,4.16666666666667,8.33333333333333,0,4.16666666666667,0,0,0,0,0,0,0,83.3333333333333,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,4.16666666666667,8.33333333333333,0,4.16666666666667,0,0,0,0,0,0,0,83.3333333333333,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,4.16666666666667,8.33333333333333,0,4.16666666666667,0,0,0,0,0,0,0,83.3333333333333,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,4.16666666666667,8.33333333333333,0,4.16666666666667,0,0,0,0,0,0,0,83.3333333333333,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,4.16666666666667,8.33333333333333,0,4.16666666666667,0,0,0,0,0,0,0,83.3333333333333,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,4.16666666666667,8.33333333333333,0,4.16666666666667,0,0,0,0,0,0,0,83.3333333333333,NA,NA
"54",-22.7654,113.5392,20220520,NA,NA,"Yes",0,0,0,0,0,6.25,0,0,0,0,0,0,93.75,0.478260869565217,0.510753918455249
"52",-22.7635,113.5348,20220520,NA,NA,"Yes",0,7.14285714285714,0,0,0,0,0,0,7.14285714285714,0,0,0,85.7142857142857,0.291666666666667,0.464305621487537
"26",-22.7615,113.5484,20220520,NA,NA,"Yes",0,0,0,0,0,0,0,0,0,0,2.17391304347826,41.304347826087,56.5217391304348,NA,NA
"45",-22.7602,113.5432,20220520,NA,NA,"Yes",0,3.33333333333333,16.6666666666667,0,0,6.66666666666667,0,0,3.33333333333333,0,0,0,70,1,0.645497224367903
"7",-22.7574,113.5382,20220520,NA,NA,"Yes",0,5.97014925373134,0,0,0,1.49253731343284,0,0,0,0,0,0,92.5373134328358,NA,NA
"55",-22.7564,113.529,20220520,NA,NA,"Yes",0,3.125,21.875,0,0,3.125,6.25,18.75,3.125,0,0,0,43.75,1.1304347826087,0.45769658728016
"56",-22.7534,113.5302,20220520,NA,NA,"Yes",0,0,0,0,0,6.25,0,0,0,0,0,0,93.75,0.08,0.276887462097269
"31",-22.7542,113.5424,20220520,NA,NA,"Yes",0,8.57142857142857,2.85714285714286,2.85714285714286,0,2.85714285714286,0,0,2.85714285714286,0,0,0,80,0.208333333333333,0.414851116999053
"40",-22.7522,113.5444,20220520,NA,NA,"Yes",0,0,0,0,0,0,0,0,0,0,0,0,100,0.08,0.276887462097269
"60",-22.7516,113.5386,20220520,NA,NA,"Yes",0,0,0,0,4.34782608695652,4.34782608695652,0,4.34782608695652,0,0,0,0,86.9565217391304,0.5,0.606976978666884
"12",-22.7505,113.5476,20220520,NA,NA,"Yes",1.66666666666667,6.66666666666667,0,0,1.66666666666667,0,1.66666666666667,6.66666666666667,1.66666666666667,0,0,0,80,NA,NA
"44",-22.7482,113.549,20220520,NA,NA,"Yes",0,0,0,0,0,0,0,0,0,0,0,0,100,0.04,0.2
"37",-22.7475,113.5445,20220520,NA,NA,"Yes",0,0,8.33333333333333,5.55555555555556,13.8888888888889,27.7777777777778,5.55555555555556,2.77777777777778,13.8888888888889,0,0,0,22.2222222222222,1.76,0.597215762238964
"6",-22.7459,113.5531,20220520,NA,NA,"Yes",0,0,3.44827586206897,0,0,0,0,0,0,0,12.0689655172414,0,84.4827586206897,NA,NA
"59",-22.7437,113.5452,20220520,NA,NA,"Yes",0,7.40740740740741,3.7037037037037,0,0,11.1111111111111,0,0,0,0,7.40740740740741,0,70.3703703703704,0.5,0.510753918455249
"24",-22.7426,113.5507,20220520,NA,NA,"Yes",0,0,0,0,0,0,0,0,0,0,5.88235294117647,47.0588235294118,47.0588235294118,0.08,0.276887462097269
"16",-22.7406,113.5395,20220520,NA,NA,"Yes",0,6.66666666666667,3.33333333333333,0,0,0,0,5,0,0,15,1.66666666666667,68.3333333333333,NA,NA
"62",-22.7375,113.542,20220520,NA,NA,"Yes",0,2.63157894736842,10.5263157894737,0,0,5.26315789473684,7.89473684210526,5.26315789473684,2.63157894736842,0,0,0,65.7894736842105,0.739130434782609,0.688700443150182
"23",-22.734,113.542,20220520,NA,NA,"Yes",0,0,0,0,0,0,0,0,0,0,1.61290322580645,27.4193548387097,70.9677419354839,NA,NA
"49",-22.7309,113.5443,20220520,NA,NA,"No",0,7.14285714285714,7.14285714285714,0,7.14285714285714,0,0,0,0,0,0,0,78.5714285714286,0.2,0.414039335605413
"36",-22.7318,113.5477,20220520,NA,NA,"Yes",0,0,0,0,2.56410256410256,0,0,0,0,0,2.56410256410256,0,94.8717948717949,0.04,0.2
"64",-22.7343,113.5508,20220520,NA,NA,"Yes",0,3.125,3.125,9.375,0,0,0,0,3.125,0,0,0,81.25,0.44,0.506622805119022
"3",-22.7379,113.5515,20220520,NA,NA,"Yes",0,10.7142857142857,3.57142857142857,5.35714285714286,0,5.35714285714286,0,5.35714285714286,0,0,1.78571428571429,10.7142857142857,57.1428571428571,NA,NA
"4",-22.7337,113.5555,20220520,NA,NA,"Yes",0,6.45161290322581,9.67741935483871,6.45161290322581,3.2258064516129,0,0,4.83870967741935,0,0,1.61290322580645,3.2258064516129,64.5161290322581,NA,NA
"43",-22.7328,113.5589,20220522,NA,NA,"Yes",0,0,7.14285714285714,0,0,0,7.14285714285714,0,0,0,3.57142857142857,32.1428571428571,50,0.5,0.760885910252682
"8",-22.7298,113.5538,20220522,NA,NA,"Yes",0,0,0,0,0,0,0,0,0,0,1.75438596491228,0,98.2456140350877,NA,NA
"11",-22.7274,113.5498,20220522,NA,NA,"Yes",0,15.5172413793103,1.72413793103448,0,1.72413793103448,3.44827586206897,0,1.72413793103448,0,0,0,0,75.8620689655172,NA,NA
"10",-22.7272,113.5424,20220522,NA,NA,"No",1.53846153846154,1.53846153846154,0,0,0,0,0,0,0,0,0,1.53846153846154,95.3846153846154,NA,NA
"27",-22.7254,113.5459,20220522,NA,NA,"Yes",0,8.33333333333333,10,8.33333333333333,1.66666666666667,0,3.33333333333333,0,0,0,0,0,68.3333333333333,NA,NA
"32",-22.7239,113.5552,20220522,NA,NA,"Yes",0,3.2258064516129,0,0,0,0,0,0,0,0,0,0,96.7741935483871,0.2,0.410391340834062
"20",-22.7212,113.5561,20220522,NA,NA,"Yes",0,3.33333333333333,0,0,0,0,0,0,0,0,6.66666666666667,0,90,0.04,0.2
"5",-22.7218,113.5506,20220522,NA,NA,"Yes",0,3.125,0,1.5625,0,1.5625,0,0,0,0,1.5625,0,92.1875,NA,NA
"1",-22.7221,113.5447,20220522,NA,NA,"Yes",0,9.09090909090909,3.63636363636364,0,0,1.81818181818182,0,18.1818181818182,0,0,0,1.81818181818182,65.4545454545455,NA,NA
"33",-22.719,113.549,20220522,NA,NA,"Yes",0,6.45161290322581,3.2258064516129,0,0,0,0,0,0,0,3.2258064516129,0,87.0967741935484,0,0
"50",-22.7173,113.5528,20220522,NA,NA,"Yes",0,5.71428571428571,0,0,0,2.85714285714286,0,5.71428571428571,0,0,0,0,85.7142857142857,0.56,0.506622805119022
"41",-22.7154,113.5479,20220522,NA,NA,"Yes",0,3.125,6.25,0,3.125,6.25,0,0,0,0,0,0,81.25,0.32,0.476095228569523
"18",-22.7101,113.5492,20220522,NA,NA,"Yes",0,0,0,0,0,0,0,0,0,0,0,0,100,NA,NA
"39",-22.7105,113.5539,20220522,NA,NA,"Yes",0,9.67741935483871,0,16.1290322580645,3.2258064516129,12.9032258064516,12.9032258064516,3.2258064516129,6.45161290322581,0,0,0,35.4838709677419,1.85,1.13670808176853
"22",-22.7072,113.5554,20220522,NA,NA,"Yes",0,15,5,6.66666666666667,3.33333333333333,5,1.66666666666667,16.6666666666667,0,0,0,0,46.6666666666667,NA,NA
"30",-22.7058,113.5588,20220522,NA,NA,"Yes",0,2.63157894736842,10.5263157894737,15.7894736842105,2.63157894736842,0,0,0,0,2.63157894736842,0,0,65.7894736842105,0.535714285714286,0.576203594236084
"58",-22.7056,113.5502,20220522,NA,NA,"Yes",0,0,11.5384615384615,0,0,0,0,0,0,0,0,0,88.4615384615385,0.25,0.444261658319319
"25",-22.7053,113.5466,20220522,NA,NA,"Yes",0,3.2258064516129,1.61290322580645,3.2258064516129,4.83870967741935,3.2258064516129,0,4.83870967741935,0,0,0,1.61290322580645,77.4193548387097,NA,NA
"17",-22.7011,113.5532,20220522,NA,NA,"Yes",1.92307692307692,13.4615384615385,15.3846153846154,1.92307692307692,0,23.0769230769231,1.92307692307692,5.76923076923077,0,0,0,1.92307692307692,34.6153846153846,NA,NA
"35",-22.6987,113.551,20220522,NA,NA,"Yes",0,3.125,3.125,0,0,0,0,0,0,0,0,0,93.75,0.16,0.374165738677394
