campaignid,opcode,level_1,caab_code,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species,count
2020-06_south-west_stereoBRUVs,01,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,8
2020-06_south-west_stereoBRUVs,01,Biota,10000912,Sponges,Erect forms,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,01,Biota,10000903,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,9
2020-06_south-west_stereoBRUVs,01,Biota,10000000,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2020-06_south-west_stereoBRUVs,01,Physical,82001002,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,02,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,9
2020-06_south-west_stereoBRUVs,02,Biota,54079009,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,1
2020-06_south-west_stereoBRUVs,02,Biota,63618905,Seagrasses,Strap-like leaves,NA,NA,NA,NA,NA,Cymodoceaceae,Thalassodendron,spp,1
2020-06_south-west_stereoBRUVs,02,Biota,10000912,Sponges,Erect forms,NA,NA,NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,02,Biota,10000903,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,6
2020-06_south-west_stereoBRUVs,02,Biota,10000000,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2020-06_south-west_stereoBRUVs,03,Biota,80300908,Macroalgae,Erect fine branching,Brown,NA,NA,NA,NA,NA,NA,NA,7
2020-06_south-west_stereoBRUVs,03,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,4
2020-06_south-west_stereoBRUVs,03,Biota,54079009,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,2
2020-06_south-west_stereoBRUVs,03,Biota,63618905,Seagrasses,Strap-like leaves,NA,NA,NA,NA,NA,Cymodoceaceae,Thalassodendron,spp,1
2020-06_south-west_stereoBRUVs,04,Physical,82001004,Substrate,Consolidated (hard),Cobbles,NA,NA,NA,NA,NA,NA,NA,11
2020-06_south-west_stereoBRUVs,04,Physical,82001014,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,26
2020-06_south-west_stereoBRUVs,05,Biota,80300904,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,05,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,25
2020-06_south-west_stereoBRUVs,05,Biota,54079009,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,1
2020-06_south-west_stereoBRUVs,05,Biota,10000903,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,05,Biota,10000000,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,05,Physical,82001002,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,05,Physical,82001014,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,06,Biota,80300908,Macroalgae,Erect fine branching,Brown,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,06,Biota,80300909,Macroalgae,Erect fine branching,Green,NA,NA,NA,NA,NA,NA,NA,4
2020-06_south-west_stereoBRUVs,06,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,6
2020-06_south-west_stereoBRUVs,06,Biota,80300000,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2020-06_south-west_stereoBRUVs,06,Biota,10000903,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,06,Biota,10000000,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,06,Physical,82001002,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,4
2020-06_south-west_stereoBRUVs,06,Physical,82001014,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,9
2020-06_south-west_stereoBRUVs,07,Biota,80300927,Macroalgae,Encrusting,Brown,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,07,Biota,80300904,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,07,Biota,80300906,Macroalgae,Erect coarse branching,Red,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,07,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,10
2020-06_south-west_stereoBRUVs,07,Biota,80300918,Macroalgae,Laminate,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,07,Biota,54079009,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,2
2020-06_south-west_stereoBRUVs,07,Biota,10000912,Sponges,Erect forms,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,07,Biota,10000000,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,07,Physical,82001004,Substrate,Consolidated (hard),Cobbles,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,07,Physical,82001002,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,07,Physical,82001014,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,12
2020-06_south-west_stereoBRUVs,08,Biota,80300927,Macroalgae,Encrusting,Brown,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,08,Biota,80300904,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,4
2020-06_south-west_stereoBRUVs,08,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,2
