campaignid,period,level_1,level_2,level_3,level_4,level_5,caab_code,count
2020-10_south-west_BOSS,1,Physical,Relief,High,High (>3m),3,82003006,14
2020-10_south-west_BOSS,1,Physical,Relief,Low / moderate,Low (<1m),1,82003003,11
2020-10_south-west_BOSS,1,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,25
2020-10_south-west_BOSS,100,Physical,Relief,High,High (>3m),3,82003006,26
2020-10_south-west_BOSS,100,Physical,Relief,Low / moderate,Low (<1m),1,82003003,1
2020-10_south-west_BOSS,100,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,33
2020-10_south-west_BOSS,101,Physical,Relief,High,High (>3m),3,82003006,22
2020-10_south-west_BOSS,101,Physical,Relief,Low / moderate,Low (<1m),1,82003003,8
2020-10_south-west_BOSS,101,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,33
2020-10_south-west_BOSS,102,Physical,Relief,High,High (>3m),3,82003006,29
2020-10_south-west_BOSS,102,Physical,Relief,Low / moderate,Low (<1m),1,82003003,3
2020-10_south-west_BOSS,102,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,32
2020-10_south-west_BOSS,110,Physical,Relief,Flat,NA,0,82003001,34
2020-10_south-west_BOSS,110,Physical,Relief,Low / moderate,Low (<1m),1,82003003,20
2020-10_south-west_BOSS,113,Physical,Relief,Low / moderate,Low (<1m),1,82003003,58
2020-10_south-west_BOSS,115,Physical,Relief,Flat,NA,0,82003001,7
2020-10_south-west_BOSS,115,Physical,Relief,Low / moderate,Low (<1m),1,82003003,51
2020-10_south-west_BOSS,115,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,1
2020-10_south-west_BOSS,117,Physical,Relief,Low / moderate,Low (<1m),1,82003003,53
2020-10_south-west_BOSS,119,Physical,Relief,High,High (>3m),3,82003006,10
2020-10_south-west_BOSS,119,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,50
2020-10_south-west_BOSS,122,Physical,Relief,High,High (>3m),3,82003006,28
2020-10_south-west_BOSS,122,Physical,Relief,Low / moderate,Low (<1m),1,82003003,1
2020-10_south-west_BOSS,122,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,29
2020-10_south-west_BOSS,123,Physical,Relief,High,High (>3m),3,82003006,15
2020-10_south-west_BOSS,123,Physical,Relief,Low / moderate,Low (<1m),1,82003003,1
2020-10_south-west_BOSS,123,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,45
2020-10_south-west_BOSS,125,Physical,Relief,Flat,NA,0,82003001,1
2020-10_south-west_BOSS,125,Physical,Relief,High,High (>3m),3,82003006,22
2020-10_south-west_BOSS,125,Physical,Relief,Low / moderate,Low (<1m),1,82003003,7
2020-10_south-west_BOSS,125,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,27
2020-10_south-west_BOSS,126,Physical,Relief,High,High (>3m),3,82003006,16
2020-10_south-west_BOSS,126,Physical,Relief,Low / moderate,Low (<1m),1,82003003,18
2020-10_south-west_BOSS,126,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,25
2020-10_south-west_BOSS,130,Physical,Relief,High,High (>3m),3,82003006,31
2020-10_south-west_BOSS,130,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,29
2020-10_south-west_BOSS,132,Physical,Relief,High,High (>3m),3,82003006,32
2020-10_south-west_BOSS,132,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,28
