campaignid,period,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species,caab_code,count
2020-10_south-west_BOSS,1,Biota,Sessile invertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA,99900044,14
2020-10_south-west_BOSS,1,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000000,5
2020-10_south-west_BOSS,1,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000903,7
2020-10_south-west_BOSS,1,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000912,3
2020-10_south-west_BOSS,1,Physical,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,82001001,13
2020-10_south-west_BOSS,1,Physical,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,82001013,9
2020-10_south-west_BOSS,100,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,80300906,1
2020-10_south-west_BOSS,100,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,80300908,1
2020-10_south-west_BOSS,100,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,80300909,6
2020-10_south-west_BOSS,100,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,80300910,30
2020-10_south-west_BOSS,100,Biota,Seagrasses,NA,NA,NA,NA,NA,NA,Cymodoceaceae,Thalassodendron,spp,63618905,11
2020-10_south-west_BOSS,100,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000000,1
2020-10_south-west_BOSS,100,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000903,4
2020-10_south-west_BOSS,100,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000912,2
2020-10_south-west_BOSS,100,Physical,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,82001001,18
2020-10_south-west_BOSS,100,Physical,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,82001013,2
2020-10_south-west_BOSS,101,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,80300904,3
2020-10_south-west_BOSS,101,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,80300909,11
2020-10_south-west_BOSS,101,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,80300910,40
2020-10_south-west_BOSS,101,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000903,6
2020-10_south-west_BOSS,101,Physical,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,82001001,11
2020-10_south-west_BOSS,101,Physical,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,82001013,7
2020-10_south-west_BOSS,102,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,80300905,1
2020-10_south-west_BOSS,102,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,80300906,1
2020-10_south-west_BOSS,102,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,80300909,4
2020-10_south-west_BOSS,102,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,80300910,51
2020-10_south-west_BOSS,102,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000000,3
2020-10_south-west_BOSS,102,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000903,4
2020-10_south-west_BOSS,102,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000912,1
2020-10_south-west_BOSS,102,Physical,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,82001001,9
2020-10_south-west_BOSS,102,Physical,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,82001013,5
2020-10_south-west_BOSS,110,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000903,1
2020-10_south-west_BOSS,110,Physical,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,82001013,79
2020-10_south-west_BOSS,113,Physical,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,82001013,80
2020-10_south-west_BOSS,115,Biota,Sessile invertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA,99900044,2
2020-10_south-west_BOSS,115,Physical,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,82001013,76
2020-10_south-west_BOSS,117,Physical,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,82001013,76
2020-10_south-west_BOSS,119,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,80300904,1
2020-10_south-west_BOSS,119,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,80300909,1
2020-10_south-west_BOSS,119,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,80300910,42
2020-10_south-west_BOSS,119,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000000,4
2020-10_south-west_BOSS,119,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000903,1
2020-10_south-west_BOSS,119,Physical,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,82001001,15
2020-10_south-west_BOSS,119,Physical,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,82001013,15
2020-10_south-west_BOSS,122,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,54079009,3
2020-10_south-west_BOSS,122,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,80300904,4
2020-10_south-west_BOSS,122,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,80300910,23
2020-10_south-west_BOSS,122,Biota,Seagrasses,NA,NA,NA,NA,NA,NA,Cymodoceaceae,Thalassodendron,spp,63618905,12
2020-10_south-west_BOSS,122,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000000,4
