campaignid,opcode,level_1,level_5,level_2,level_3,level_4,level_6,level_7,level_8,family,genus,species,caab_code,count
2020-10_south-west_stereoBRUVs,FH10,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,11
2020-10_south-west_stereoBRUVs,FH10,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,13
2020-10_south-west_stereoBRUVs,FH102,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,22
2020-10_south-west_stereoBRUVs,FH102,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,5
2020-10_south-west_stereoBRUVs,FH106,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,2
2020-10_south-west_stereoBRUVs,FH106,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,15
2020-10_south-west_stereoBRUVs,FH106,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,6
2020-10_south-west_stereoBRUVs,FH108,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,1
2020-10_south-west_stereoBRUVs,FH108,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,5
2020-10_south-west_stereoBRUVs,FH108,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,17
2020-10_south-west_stereoBRUVs,FH109,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,1
2020-10_south-west_stereoBRUVs,FH109,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,6
2020-10_south-west_stereoBRUVs,FH109,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,13
2020-10_south-west_stereoBRUVs,FH11,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,9
2020-10_south-west_stereoBRUVs,FH11,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,4
2020-10_south-west_stereoBRUVs,FH11,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,4
2020-10_south-west_stereoBRUVs,FH11,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,11
2020-10_south-west_stereoBRUVs,FH110,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,1
2020-10_south-west_stereoBRUVs,FH110,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,6
2020-10_south-west_stereoBRUVs,FH110,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,7
2020-10_south-west_stereoBRUVs,FH110,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,8
2020-10_south-west_stereoBRUVs,FH111,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,1
2020-10_south-west_stereoBRUVs,FH111,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,10
2020-10_south-west_stereoBRUVs,FH111,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,9
2020-10_south-west_stereoBRUVs,FH111,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,5
2020-10_south-west_stereoBRUVs,FH113,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,8
2020-10_south-west_stereoBRUVs,FH113,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,17
2020-10_south-west_stereoBRUVs,FH12,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,17
2020-10_south-west_stereoBRUVs,FH12,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,3
2020-10_south-west_stereoBRUVs,FH14,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,5
2020-10_south-west_stereoBRUVs,FH14,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,20
2020-10_south-west_stereoBRUVs,FH14,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,2
2020-10_south-west_stereoBRUVs,FH15,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,22
2020-10_south-west_stereoBRUVs,FH16,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,1
2020-10_south-west_stereoBRUVs,FH16,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,15
2020-10_south-west_stereoBRUVs,FH16,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,16
2020-10_south-west_stereoBRUVs,FH17,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,5
2020-10_south-west_stereoBRUVs,FH17,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,20
2020-10_south-west_stereoBRUVs,FH17,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,1
2020-10_south-west_stereoBRUVs,FH18,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,1
2020-10_south-west_stereoBRUVs,FH18,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,3
2020-10_south-west_stereoBRUVs,FH18,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,11
2020-10_south-west_stereoBRUVs,FH18,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,5
2020-10_south-west_stereoBRUVs,FH2,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,3
2020-10_south-west_stereoBRUVs,FH2,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,9
2020-10_south-west_stereoBRUVs,FH2,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,13
2020-10_south-west_stereoBRUVs,FH20,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,3
2020-10_south-west_stereoBRUVs,FH20,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,13
2020-10_south-west_stereoBRUVs,FH20,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,4
2020-10_south-west_stereoBRUVs,FH21,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,9
2020-10_south-west_stereoBRUVs,FH21,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,16
2020-10_south-west_stereoBRUVs,FH23,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,2
2020-10_south-west_stereoBRUVs,FH23,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,9
2020-10_south-west_stereoBRUVs,FH23,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,14
2020-10_south-west_stereoBRUVs,FH24,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,8
2020-10_south-west_stereoBRUVs,FH24,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,12
2020-10_south-west_stereoBRUVs,FH25,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,3
2020-10_south-west_stereoBRUVs,FH25,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,11
2020-10_south-west_stereoBRUVs,FH25,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,11
2020-10_south-west_stereoBRUVs,FH26,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,9
2020-10_south-west_stereoBRUVs,FH26,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,7
2020-10_south-west_stereoBRUVs,FH27,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,2
2020-10_south-west_stereoBRUVs,FH27,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,11
2020-10_south-west_stereoBRUVs,FH27,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,7
2020-10_south-west_stereoBRUVs,FH28,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,8
2020-10_south-west_stereoBRUVs,FH28,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,16
2020-10_south-west_stereoBRUVs,FH28,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,1
2020-10_south-west_stereoBRUVs,FH30,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,4
2020-10_south-west_stereoBRUVs,FH30,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,18
2020-10_south-west_stereoBRUVs,FH31,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,3
2020-10_south-west_stereoBRUVs,FH31,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,11
2020-10_south-west_stereoBRUVs,FH31,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,14
2020-10_south-west_stereoBRUVs,FH32,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,6
2020-10_south-west_stereoBRUVs,FH32,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,6
2020-10_south-west_stereoBRUVs,FH32,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,3
2020-10_south-west_stereoBRUVs,FH32,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,1
2020-10_south-west_stereoBRUVs,FH33,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,2
2020-10_south-west_stereoBRUVs,FH33,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,13
2020-10_south-west_stereoBRUVs,FH33,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,7
2020-10_south-west_stereoBRUVs,FH34,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,3
2020-10_south-west_stereoBRUVs,FH34,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,14
2020-10_south-west_stereoBRUVs,FH34,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,7
2020-10_south-west_stereoBRUVs,FH35,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,8
2020-10_south-west_stereoBRUVs,FH35,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,8
2020-10_south-west_stereoBRUVs,FH36,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,5
2020-10_south-west_stereoBRUVs,FH36,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,3
2020-10_south-west_stereoBRUVs,FH37,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,15
2020-10_south-west_stereoBRUVs,FH37,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,11
2020-10_south-west_stereoBRUVs,FH39,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,2
2020-10_south-west_stereoBRUVs,FH39,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,18
2020-10_south-west_stereoBRUVs,FH39,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,4
2020-10_south-west_stereoBRUVs,FH40,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,1
2020-10_south-west_stereoBRUVs,FH40,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,2
2020-10_south-west_stereoBRUVs,FH40,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,13
2020-10_south-west_stereoBRUVs,FH40,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,7
2020-10_south-west_stereoBRUVs,FH41,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,4
2020-10_south-west_stereoBRUVs,FH41,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,27
2020-10_south-west_stereoBRUVs,FH42,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,3
2020-10_south-west_stereoBRUVs,FH42,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,24
2020-10_south-west_stereoBRUVs,FH44,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,3
2020-10_south-west_stereoBRUVs,FH44,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,6
2020-10_south-west_stereoBRUVs,FH44,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,17
2020-10_south-west_stereoBRUVs,FH45,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,2
2020-10_south-west_stereoBRUVs,FH45,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,5
2020-10_south-west_stereoBRUVs,FH45,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,16
2020-10_south-west_stereoBRUVs,FH46,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,7
2020-10_south-west_stereoBRUVs,FH46,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,7
2020-10_south-west_stereoBRUVs,FH46,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,6
2020-10_south-west_stereoBRUVs,FH47,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,13
2020-10_south-west_stereoBRUVs,FH47,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,11
2020-10_south-west_stereoBRUVs,FH48,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,6
2020-10_south-west_stereoBRUVs,FH48,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,14
2020-10_south-west_stereoBRUVs,FH49,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,10
2020-10_south-west_stereoBRUVs,FH49,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,10
2020-10_south-west_stereoBRUVs,FH5,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,6
2020-10_south-west_stereoBRUVs,FH5,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,6
2020-10_south-west_stereoBRUVs,FH5,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,10
2020-10_south-west_stereoBRUVs,FH50,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,20
2020-10_south-west_stereoBRUVs,FH51,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,2
2020-10_south-west_stereoBRUVs,FH51,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,5
2020-10_south-west_stereoBRUVs,FH51,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,25
2020-10_south-west_stereoBRUVs,FH52,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,5
2020-10_south-west_stereoBRUVs,FH52,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,11
2020-10_south-west_stereoBRUVs,FH52,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,11
2020-10_south-west_stereoBRUVs,FH54,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,22
2020-10_south-west_stereoBRUVs,FH54,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,5
2020-10_south-west_stereoBRUVs,FH55,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,13
2020-10_south-west_stereoBRUVs,FH55,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,11
2020-10_south-west_stereoBRUVs,FH55,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,1
2020-10_south-west_stereoBRUVs,FH55,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,2
2020-10_south-west_stereoBRUVs,FH56,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,3
2020-10_south-west_stereoBRUVs,FH56,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,23
2020-10_south-west_stereoBRUVs,FH57,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,9
2020-10_south-west_stereoBRUVs,FH57,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,4
2020-10_south-west_stereoBRUVs,FH57,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,14
2020-10_south-west_stereoBRUVs,FH58,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,4
2020-10_south-west_stereoBRUVs,FH58,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,11
2020-10_south-west_stereoBRUVs,FH58,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,8
2020-10_south-west_stereoBRUVs,FH59,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,4
2020-10_south-west_stereoBRUVs,FH59,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,10
2020-10_south-west_stereoBRUVs,FH59,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,1
2020-10_south-west_stereoBRUVs,FH6,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,6
2020-10_south-west_stereoBRUVs,FH6,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,4
2020-10_south-west_stereoBRUVs,FH60,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,5
2020-10_south-west_stereoBRUVs,FH60,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,9
2020-10_south-west_stereoBRUVs,FH60,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,10
2020-10_south-west_stereoBRUVs,FH61,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,4
2020-10_south-west_stereoBRUVs,FH61,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,23
