campaignid,period,level_1,level_2,level_3,level_4,level_5,caab_code,count
2021-03_West-Coast_BOSS,1,Physical,Relief,High,High (>3m),3,82003006,24
2021-03_West-Coast_BOSS,1,Physical,Relief,Low / moderate,Low (<1m),1,82003003,4
2021-03_West-Coast_BOSS,1,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,38
2021-03_West-Coast_BOSS,10,Physical,Relief,High,High (>3m),3,82003006,27
2021-03_West-Coast_BOSS,10,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,35
2021-03_West-Coast_BOSS,100,Physical,Relief,High,High (>3m),3,82003006,26
2021-03_West-Coast_BOSS,100,Physical,Relief,High,Wall,4,82003007,1
2021-03_West-Coast_BOSS,100,Physical,Relief,Low / moderate,Low (<1m),1,82003003,12
2021-03_West-Coast_BOSS,100,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,26
2021-03_West-Coast_BOSS,101,Physical,Relief,Flat,NA,0,82003001,9
2021-03_West-Coast_BOSS,101,Physical,Relief,Low / moderate,Low (<1m),1,82003003,34
2021-03_West-Coast_BOSS,101,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,24
2021-03_West-Coast_BOSS,102,Physical,Relief,Flat,NA,0,82003001,2
2021-03_West-Coast_BOSS,102,Physical,Relief,High,High (>3m),3,82003006,63
2021-03_West-Coast_BOSS,102,Physical,Relief,Low / moderate,Low (<1m),1,82003003,1
2021-03_West-Coast_BOSS,102,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,2
2021-03_West-Coast_BOSS,103,Physical,Relief,High,High (>3m),3,82003006,14
2021-03_West-Coast_BOSS,103,Physical,Relief,Low / moderate,Low (<1m),1,82003003,4
2021-03_West-Coast_BOSS,103,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,46
2021-03_West-Coast_BOSS,104,Physical,Relief,High,High (>3m),3,82003006,61
2021-03_West-Coast_BOSS,105,Physical,Relief,High,High (>3m),3,82003006,36
2021-03_West-Coast_BOSS,105,Physical,Relief,Low / moderate,Low (<1m),1,82003003,18
2021-03_West-Coast_BOSS,105,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,12
2021-03_West-Coast_BOSS,106,Physical,Relief,High,High (>3m),3,82003006,48
2021-03_West-Coast_BOSS,106,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,9
2021-03_West-Coast_BOSS,107,Physical,Relief,High,High (>3m),3,82003006,60
