campaignid,period,level_1,level_5,level_2,level_3,level_4,level_6,level_7,level_8,caab_code,count
2021-05_PtCloates_BOSS,1,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,30
2021-05_PtCloates_BOSS,1,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,10
2021-05_PtCloates_BOSS,1,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,1
2021-05_PtCloates_BOSS,10,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,31
2021-05_PtCloates_BOSS,12,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,3
2021-05_PtCloates_BOSS,12,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,35
2021-05_PtCloates_BOSS,12,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,2
2021-05_PtCloates_BOSS,13,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,11
2021-05_PtCloates_BOSS,13,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,27
2021-05_PtCloates_BOSS,13,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,2
2021-05_PtCloates_BOSS,15,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,20
2021-05_PtCloates_BOSS,15,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,13
2021-05_PtCloates_BOSS,18,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,8
2021-05_PtCloates_BOSS,18,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,19
2021-05_PtCloates_BOSS,18,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,4
2021-05_PtCloates_BOSS,18,Physical,3,Relief,High,High (>3m),NA,NA,NA,82003006,8
2021-05_PtCloates_BOSS,19,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,9
2021-05_PtCloates_BOSS,19,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,22
2021-05_PtCloates_BOSS,19,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,5
2021-05_PtCloates_BOSS,19,Physical,3,Relief,High,High (>3m),NA,NA,NA,82003006,1
2021-05_PtCloates_BOSS,2,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,20
2021-05_PtCloates_BOSS,2,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,10
2021-05_PtCloates_BOSS,20,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,2
