campaignid,opcode,level_1,level_2,level_3,level_4,level_5,caab_code,count
2021-05_PtCloates_stereo-BRUVs,1,Physical,Relief,High,High (>3m),3,82003006,6
2021-05_PtCloates_stereo-BRUVs,1,Physical,Relief,Low / moderate,Low (<1m),1,82003003,6
2021-05_PtCloates_stereo-BRUVs,1,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,8
2021-05_PtCloates_stereo-BRUVs,10,Physical,Relief,Flat,NA,0,82003001,20
2021-05_PtCloates_stereo-BRUVs,11,Physical,Relief,High,High (>3m),3,82003006,1
2021-05_PtCloates_stereo-BRUVs,11,Physical,Relief,Low / moderate,Low (<1m),1,82003003,8
2021-05_PtCloates_stereo-BRUVs,11,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,10
2021-05_PtCloates_stereo-BRUVs,12,Physical,Relief,Flat,NA,0,82003001,3
2021-05_PtCloates_stereo-BRUVs,12,Physical,Relief,Low / moderate,Low (<1m),1,82003003,13
2021-05_PtCloates_stereo-BRUVs,12,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,2
2021-05_PtCloates_stereo-BRUVs,13,Physical,Relief,Flat,NA,0,82003001,3
2021-05_PtCloates_stereo-BRUVs,13,Physical,Relief,High,High (>3m),3,82003006,1
2021-05_PtCloates_stereo-BRUVs,13,Physical,Relief,Low / moderate,Low (<1m),1,82003003,6
2021-05_PtCloates_stereo-BRUVs,13,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,10
2021-05_PtCloates_stereo-BRUVs,14,Physical,Relief,Flat,NA,0,82003001,17
2021-05_PtCloates_stereo-BRUVs,14,Physical,Relief,Low / moderate,Low (<1m),1,82003003,2
2021-05_PtCloates_stereo-BRUVs,15,Physical,Relief,Flat,NA,0,82003001,6
2021-05_PtCloates_stereo-BRUVs,15,Physical,Relief,Low / moderate,Low (<1m),1,82003003,11
2021-05_PtCloates_stereo-BRUVs,15,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,3
2021-05_PtCloates_stereo-BRUVs,16,Physical,Relief,Flat,NA,0,82003001,6
2021-05_PtCloates_stereo-BRUVs,16,Physical,Relief,High,High (>3m),3,82003006,2
2021-05_PtCloates_stereo-BRUVs,16,Physical,Relief,Low / moderate,Low (<1m),1,82003003,9
2021-05_PtCloates_stereo-BRUVs,16,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,4
2021-05_PtCloates_stereo-BRUVs,17,Physical,Relief,Flat,NA,0,82003001,3
2021-05_PtCloates_stereo-BRUVs,17,Physical,Relief,High,High (>3m),3,82003006,1
2021-05_PtCloates_stereo-BRUVs,17,Physical,Relief,Low / moderate,Low (<1m),1,82003003,9
2021-05_PtCloates_stereo-BRUVs,17,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,6
2021-05_PtCloates_stereo-BRUVs,18,Physical,Relief,Flat,NA,0,82003001,19
2021-05_PtCloates_stereo-BRUVs,19,Physical,Relief,Flat,NA,0,82003001,19
2021-05_PtCloates_stereo-BRUVs,2,Physical,Relief,Flat,NA,0,82003001,6
2021-05_PtCloates_stereo-BRUVs,2,Physical,Relief,Low / moderate,Low (<1m),1,82003003,10
2021-05_PtCloates_stereo-BRUVs,2,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,3
2021-05_PtCloates_stereo-BRUVs,21,Physical,Relief,Flat,NA,0,82003001,1
2021-05_PtCloates_stereo-BRUVs,21,Physical,Relief,High,High (>3m),3,82003006,1
2021-05_PtCloates_stereo-BRUVs,21,Physical,Relief,Low / moderate,Low (<1m),1,82003003,14
2021-05_PtCloates_stereo-BRUVs,21,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,5
2021-05_PtCloates_stereo-BRUVs,22,Physical,Relief,Flat,NA,0,82003001,4
2021-05_PtCloates_stereo-BRUVs,22,Physical,Relief,High,High (>3m),3,82003006,1
2021-05_PtCloates_stereo-BRUVs,22,Physical,Relief,Low / moderate,Low (<1m),1,82003003,11
2021-05_PtCloates_stereo-BRUVs,22,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,3
2021-05_PtCloates_stereo-BRUVs,23,Physical,Relief,Flat,NA,0,82003001,19
2021-05_PtCloates_stereo-BRUVs,25,Physical,Relief,Flat,NA,0,82003001,7
2021-05_PtCloates_stereo-BRUVs,25,Physical,Relief,Low / moderate,Low (<1m),1,82003003,11
2021-05_PtCloates_stereo-BRUVs,25,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,1
2021-05_PtCloates_stereo-BRUVs,26,Physical,Relief,Flat,NA,0,82003001,10
2021-05_PtCloates_stereo-BRUVs,27,Physical,Relief,Flat,NA,0,82003001,2
2021-05_PtCloates_stereo-BRUVs,27,Physical,Relief,High,High (>3m),3,82003006,2
2021-05_PtCloates_stereo-BRUVs,27,Physical,Relief,Low / moderate,Low (<1m),1,82003003,12
2021-05_PtCloates_stereo-BRUVs,27,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,5
