campaignid,period,level_1,level_5,level_2,level_3,level_4,level_6,level_7,level_8,caab_code,count
2022-05_PtCloates_Naked-BOSS,201,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,50
2022-05_PtCloates_Naked-BOSS,201,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,7
2022-05_PtCloates_Naked-BOSS,202,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,40
2022-05_PtCloates_Naked-BOSS,203,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,45
2022-05_PtCloates_Naked-BOSS,203,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,7
2022-05_PtCloates_Naked-BOSS,204,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,29
2022-05_PtCloates_Naked-BOSS,204,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,9
2022-05_PtCloates_Naked-BOSS,204,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,8
2022-05_PtCloates_Naked-BOSS,205,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,44
2022-05_PtCloates_Naked-BOSS,205,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,3
2022-05_PtCloates_Naked-BOSS,206,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,29
2022-05_PtCloates_Naked-BOSS,206,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,15
2022-05_PtCloates_Naked-BOSS,206,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,1
2022-05_PtCloates_Naked-BOSS,207,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,51
2022-05_PtCloates_Naked-BOSS,207,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,2
2022-05_PtCloates_Naked-BOSS,208,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,36
2022-05_PtCloates_Naked-BOSS,208,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,4
2022-05_PtCloates_Naked-BOSS,209,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,55
2022-05_PtCloates_Naked-BOSS,209,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,1
2022-05_PtCloates_Naked-BOSS,210,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,35
2022-05_PtCloates_Naked-BOSS,210,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,1
2022-05_PtCloates_Naked-BOSS,211,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,49
2022-05_PtCloates_Naked-BOSS,211,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,7
2022-05_PtCloates_Naked-BOSS,212,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,50
2022-05_PtCloates_Naked-BOSS,212,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,1
2022-05_PtCloates_Naked-BOSS,213,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,38
2022-05_PtCloates_Naked-BOSS,214,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,49
2022-05_PtCloates_Naked-BOSS,214,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,3
2022-05_PtCloates_Naked-BOSS,215,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,40
2022-05_PtCloates_Naked-BOSS,216,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,40
2022-05_PtCloates_Naked-BOSS,216,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,8
2022-05_PtCloates_Naked-BOSS,217,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,41
2022-05_PtCloates_Naked-BOSS,217,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,3
2022-05_PtCloates_Naked-BOSS,218,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,35
2022-05_PtCloates_Naked-BOSS,218,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,4
