campaignid,period,status,longitude_dd,latitude_dd,observer_count,observer_length,date_time,location,site,depth_m,successful_count,successful_length,successful_habitat_panoramic,successful_habitat_downward,observer_habitat_panoramic,observer_habitat_downward
2020-10_south-west_BOSS,FH92,Fished,114.8714,-33.8437,NA,NA,2020-10-20T08:34:48+08:00,South-west,NA,44.1,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH61,Fished,114.8639,-33.8412,NA,NA,2020-10-20T09:06:40+08:00,South-west,NA,43.5,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH27,Fished,114.8714,-33.8362,NA,NA,2020-10-20T09:32:24+08:00,South-west,NA,42.8,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH17,Fished,114.8764,-33.8337,NA,NA,2020-10-20T09:46:43+08:00,South-west,NA,41.5,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH56,Fished,114.8664,-33.8312,NA,NA,2020-10-20T10:00:37+08:00,South-west,NA,41.9,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH96,Fished,114.8339,-33.8187,NA,NA,2020-10-20T10:40:01+08:00,South-west,NA,43.38,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH60,Fished,114.8214,-33.8162,NA,NA,2020-10-20T10:54:30+08:00,South-west,NA,44.4,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH26,Fished,114.8289,-33.8112,NA,NA,2020-10-20T11:05:07+08:00,South-west,NA,43.9,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH110,Fished,114.8214,-33.8087,NA,NA,2020-10-20T11:17:02+08:00,South-west,NA,44.9,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH48,Fished,114.8139,-33.7962,NA,NA,2020-10-20T11:30:39+08:00,South-west,NA,45,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH21,Fished,114.8089,-33.7937,NA,NA,2020-10-20T11:41:29+08:00,South-west,NA,46.3,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH18,Fished,114.8214,-33.7912,NA,NA,2020-10-20T11:55:54+08:00,South-west,NA,45.1,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH106,Fished,114.8164,-33.7887,NA,NA,2020-10-20T12:06:58+08:00,South-west,NA,46.2,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH57,Fished,114.8114,-33.7887,NA,NA,2020-10-20T12:18:13+08:00,South-west,NA,44.2,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH34,Fished,114.8839,-33.7862,NA,NA,2020-10-20T12:51:20+08:00,South-west,NA,44.6,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH7,Fished,114.8789,-33.7837,NA,NA,2020-10-20T13:04:33+08:00,South-west,NA,45.2,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH20,Fished,114.8739,-33.7862,NA,NA,2020-10-20T13:17:56+08:00,South-west,NA,42.4,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH93,Fished,114.8689,-33.7762,NA,NA,2020-10-20T13:32:44+08:00,South-west,NA,44.3,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH44,Fished,114.8639,-33.7712,NA,NA,2020-10-20T13:46:18+08:00,South-west,NA,44.5,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH14,Fished,114.8714,-33.7662,NA,NA,2020-10-20T13:59:42+08:00,South-west,NA,44.9,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH95,Fished,114.8914,-33.7587,NA,NA,2020-10-20T14:17:10+08:00,South-west,NA,47.23,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH62,Fished,114.8814,-33.7562,NA,NA,2020-10-20T14:32:04+08:00,South-west,NA,45.2,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,FH30,Fished,114.8889,-33.7512,NA,NA,2020-10-20T14:44:05+08:00,South-west,NA,46.9,NA,NA,No,Yes,NA,UWA MEG
2020-10_south-west_BOSS,261,Fished,114.9214,-33.9762,NA,NA,2020-10-30T07:00:38+08:00,South-west,NA,46.5,NA,NA,Yes,Yes,UWA MEG,UWA MEG
2020-10_south-west_BOSS,338,Fished,114.9225,-33.9723,NA,NA,2020-10-30T07:16:01+08:00,South-west,NA,46,NA,NA,Yes,Yes,UWA MEG,UWA MEG
