campaignid,opcode,status,longitude_dd,latitude_dd,observer_count,observer_length,date_time,location,site,depth_m,successful_count,successful_length,successful_habitat_forward,successful_habitat_backward,observer_habitat_forward,observer_habitat_backward
2020-06_south-west_stereoBRUVs,01,No-take,114.930865,-34.128599,Hayley Sims,Rachel,2020-06-02T09:10+08:00,South-west,c1,46.7,Yes,Yes,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,02,No-take,114.928838,-34.125316,Hayley Sims,Rachel,2020-06-02T09:18+08:00,South-west,c1,44.4,Yes,No,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,03,No-take,114.925945,-34.126906,Hayley Sims,Rachel,2020-06-02T09:27+08:00,South-west,c1,39.3,Yes,Yes,Yes,No,Unknown,NA
2020-06_south-west_stereoBRUVs,04,No-take,114.920337,-34.122634,Hayley Sims,Rachel,2020-06-02T09:44+08:00,South-west,c2,44.1,Yes,Yes,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,05,No-take,114.915753,-34.131497,Hayley Sims,Rachel,2020-06-02T09:57+08:00,South-west,c3,44.1,Yes,Yes,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,06,No-take,114.912405,-34.132842,Hayley Sims,Rachel,2020-06-02T10:06+08:00,South-west,c3,43.2,Yes,Yes,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,07,No-take,114.910241,-34.134771,Hayley Sims,upside down + 2k,2020-06-02T10:16+08:00,South-west,c3,43.9,Yes,No,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,08,No-take,114.911755,-34.129352,Hayley Sims,Rachel,2020-06-02T13:48+08:00,South-west,c3,39.6,Yes,Yes,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,09,No-take,114.916105,-34.119541,Hayley Sims,Rachel,2020-06-02T11:45+08:00,South-west,c2,43.8,Yes,Yes,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,10,No-take,114.918685,-34.117294,Hayley Sims,Rachel,2020-06-02T11:51+08:00,South-west,c2,45.7,Yes,Yes,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,11,No-take,114.92306,-34.117752,Hayley Sims,Rachel,2020-06-02T13:55+08:00,South-west,c2,45.08,Yes,Yes,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,12,No-take,114.928545,-34.132262,Hayley Sims,Rachel,2020-06-02T12:03+08:00,South-west,c1,40.1,Yes,Yes,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,13,No-take,114.930547,-34.128506,Hayley Sims,Rachel,2020-06-02T12:09+08:00,South-west,c1,45.2,Yes,Yes,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,14,No-take,114.925457,-34.128381,Hayley Sims,Rachel,2020-06-02T12:16+08:00,South-west,c1,35,Yes,No,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,15,No-take,114.91032,-34.125012,Hayley Sims,Rachel,2020-06-02T14:09+08:00,South-west,c3,43,Yes,Yes,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,16,No-take,114.906548,-34.126181,Hayley Sims,Rachel,2020-06-02T14:14+08:00,South-west,c3,40.9,Yes,Yes,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,17,No-take,114.92083,-34.132142,Hayley Sims,Rachel,2020-06-02T14:20+08:00,South-west,c3,40.2,Yes,Yes,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,18,No-take,114.924078,-34.128679,Hayley Sims,Rachel,2020-06-02T14:25+08:00,South-west,c1,35.8,Yes,No,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,19,No-take,114.927818,-34.122542,NA,gopro,2020-06-02T14:30+08:00,South-west,c1,44.9,No,No,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,20,No-take,114.820233,-34.130219,Hayley Sims,NA,2020-06-03T08:16+08:00,South-west,c8,51.7,Yes,No,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,21,No-take,114.817448,-34.128151,Hayley Sims,Rachel,2020-06-03T08:24+08:00,South-west,c8,52.4,Yes,Yes,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,22,No-take,114.819552,-34.126271,Hayley Sims,Rachel,2020-06-03T08:32+08:00,South-west,c8,51.9,Yes,Yes,Yes,Yes,Unknown,Unknown
2020-06_south-west_stereoBRUVs,23,No-take,114.817017,-34.124217,Hayley Sims,Rachel,2020-06-03T08:38+08:00,South-west,c8,51.3,Yes,Yes,Yes,Yes,Unknown,Unknown
