"sample","date","site","location","successful.count","depth","fov.limited","fov.open","fov.total.points.annotated","kelps","broad.ascidians","broad.bryozoa","rock","broad.hydroids","broad.invertebrate.complex","macroalgae","broad.octocoral.black","broad.sponges","sand","broad.total.points.annotated","mean.relief","sd.relief","method","x","y","ID","Z","slope","aspect","TPI","TRI","roughness","detrended","lineartrend","inverts","latitude","longitude"
"npz6.34",20210511,"npz6.34","NPZ6","Y",49.1,5,75,80,0,0,0,1,0,0,8,0,41,27,77,1.73846153846154,0.44289258986107,"BOSS",113.549,-28.0563,1,-47.6597366333008,0.0540470509048706,91.2172387579838,0.114087104797363,0.229166984558105,0.787330627441406,-1.49726378917694,-46.1624717712402,41,-28.0563,113.549
"npz6.19",20210511,"npz6.19","NPZ6","Y",48.1,7,73,80,0,1,0,23,0,0,26,1,12,16,79,2.03125,0.25,"BOSS",113.5314,-28.0463,2,-45.2296028137207,0.0948283053613582,266.509235479507,-0.175805568695068,0.700391292572021,2.67759323120117,-0.665113985538483,-44.5644874572754,14,-28.0463,113.5314
"npz6.36",20210511,"npz6.36","NPZ6","Y",52.9,7,73,80,0,0,0,15,0,0,1,0,0,63,79,0.596774193548387,0.494549883752722,"BOSS",113.4739,-28.0765,3,-51.6191902160645,0.288239636576689,21.8125760801653,-0.653021812438965,1.00656032562256,4.35736846923828,-8.46964645385742,-43.149543762207,0,-28.0765,113.4739
"npz6.5",20210511,"npz6.5","NPZ6","Y",53.2,6,74,80,0,0,0,5,0,0,12,0,5,57,79,1.20289855072464,0.530807103129906,"BOSS",113.4763,-28.0839,4,-50.8207359313965,0.490154908068568,90.0179526396841,-0.698408126831055,1.63534545898438,5.38462066650391,-7.62957143783569,-43.1911659240723,5,-28.0839,113.4763
"npz6.37",20210511,"npz6.37","NPZ6","Y",39.2,7,73,80,0,0,0,22,0,0,26,0,0,20,68,1.95384615384615,0.21145103088313,"BOSS",113.4639,-28.0964,5,-38.1526947021484,1.52203624152799,59.4176297006878,-2.07680535316467,5.18087220191956,20.9134578704834,9.13645362854004,-47.2891502380371,0,-28.0964,113.4639
"npz6.14",20210511,"npz6.14","NPZ6","Y",25.5,5,75,80,0,0,0,17,0,0,58,0,0,1,76,2.92424242424242,0.364189555910151,"BOSS",113.4589,-28.0912,6,-32.8350791931152,2.25024725431325,66.8198015591208,-2.77987837791443,7.97878527641296,23.6517677307129,15.1436710357666,-47.9787521362305,0,-28.0912,113.4589
"npz6.33",20210511,"npz6.33","NPZ6","Y",28,5,75,80,0,0,0,0,0,0,79,0,0,0,79,3,0,"BOSS",113.4437,-28.0887,7,-22.9055690765381,1.69738830911985,267.924879472374,4.05605602264404,5.85930824279785,15.8341636657715,29.7943782806396,-52.6999473571777,0,-28.0887,113.4437
"npz6.29",20210511,"npz6.29","NPZ6","Y",43.1,7,73,80,0,0,0,5,0,0,7,0,0,69,81,0.923076923076923,0.268543077764787,"BOSS",113.4589,-28.0837,8,-39.3594017028809,1.38164146531386,69.207020458219,-2.86072731018066,4.68674755096436,15.7775497436523,7.70193147659302,-47.0613327026367,0,-28.0837,113.4589
"npz6.11",20210511,"npz6.11","NPZ6","Y",34,6,74,80,0,0,0,8,0,0,61,0,0,4,73,2.6865671641791,0.467389760908861,"BOSS",113.4539,-28.0761,9,-36.2672233581543,1.64064333406945,60.8166600097598,0.262740135192871,5.58430290222168,18.9919700622559,11.5005531311035,-47.7677764892578,0,-28.0761,113.4539
"npz6.13",20210511,"npz6.13","NPZ6","Y",57,6,74,80,0,0,0,77,0,0,0,0,0,3,80,1,0,"BOSS",113.4489,-28.0537,10,-52.3913726806641,1.47671054748188,42.9546224911264,-0.946710109710693,4.91206121444702,17.4776840209961,-4.29208755493164,-48.0992851257324,0,-28.0537,113.4489
"npz6.26",20210511,"npz6.26","NPZ6","Y",42,5,75,80,12,0,0,0,0,0,69,0,10,1,80,3,0,"BOSS",113.4414,-28.0487,11,-50.6478271484375,1.82385317425722,31.101047261912,-0.276867389678955,6.78882074356079,21.067455291748,-0.373749643564224,-50.2740783691406,10,-28.0487,113.4414
"npz6.20",20210511,"npz6.20","NPZ6","Y",51,6,74,80,0,0,0,61,0,0,7,0,11,0,79,2.23188405797101,1.2144343579993,"BOSS",113.4413,-28.0462,12,-57.5754737854004,1.24116061598047,32.8329458359449,-1.09644889831543,4.48446559906006,14.6909675598145,-7.32903671264648,-50.2464370727539,11,-28.0462,113.4413
"npz6.6",20210511,"npz6.6","NPZ6","Y",66.6,7,73,80,0,0,0,0,0,0,0,0,0,80,80,1,0,"BOSS",113.4213,-28.0362,13,-62.5036201477051,0.767318178481421,134.332844376255,-1.40007638931274,2.63448572158813,10.7425079345703,-5.05883646011353,-57.4447822570801,0,-28.0362,113.4213
"npz6.17",20210511,"npz6.17","NPZ6","Y",65.7,6,74,80,0,0,0,0,1,32,0,0,34,4,71,1.484375,0.534290435850456,"BOSS",113.3939,-28.0587,14,-65.7911987304688,0.792060108155409,289.461877707251,-0.3689284324646,2.80069303512573,9.68425750732422,8.57943725585938,-74.3706359863281,67,-28.0587,113.3939
"npz6.21",20210511,"npz6.21","NPZ6","Y",57.4,7,73,80,0,0,0,5,0,0,1,0,0,64,70,0.893939393939394,0.682276458263925,"BOSS",113.4014,-28.0737,15,-55.1916389465332,1.17676859292674,239.267242968714,3.14658069610596,4.10550689697266,14.5330543518066,16.8757381439209,-72.0673751831055,0,-28.0737,113.4014
"npz6.31",20210511,"npz6.31","NPZ6","Y",81.9,6,74,80,0,0,0,56,0,0,0,0,0,24,80,1,0,"BOSS",113.3938,-28.0711,16,-73.4224166870117,2.01909355605363,239.142356451609,-1.07343626022339,6.96042585372925,24.905834197998,3.24979639053345,-76.6722106933594,0,-28.0711,113.3938
"npz6.7",20210511,"npz6.7","NPZ6","Y",89.5,4,76,80,0,0,0,0,0,0,0,0,0,80,80,0.6,0.527224906178488,"BOSS",113.3812,-28.0687,17,-85.980827331543,0.986345887248642,240.52381793289,1.54701900482178,3.41292095184326,13.053092956543,-0.497556447982788,-85.483268737793,0,-28.0687,113.3812
