"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","depth","roughness","detrended","cumsum.wi"
"sand.depth+detrended","depth+detrended",2619.63717851513,2647.07054105456,0.15574,NA,8.55,0,0,0,1,1,1,0,1,1
"sand.depth","depth",2888.90776851054,2905.12073085348,0.11627,NA,4.99,0,269.271,258.05,0,0,1,0,0,1
"sand.detrended+roughness","detrended+roughness",3206.81230395734,3235.25388255085,0.12936,NA,8.87,0,587.175,588.183,0,0,0,1,1,1
"sand.detrended","detrended",3378.55108301696,3394.53714990203,0.08445,NA,4.92,0,758.914,747.467,0,0,0,0,1,1
"sand.roughness","roughness",3583.16943751989,3598.93199258455,0.0353,NA,4.85,0,963.532,951.861,0,0,0,1,0,1
"sand.null","null",3707.72933458826,3711.01760228566,0,NA,1,0,1088.092,1063.947,0,0,0,0,0,1
"inverts.depth+detrended","depth+detrended",2478.03273982884,2505.84345341039,0.15748,NA,8.67,0,0,0,1,1,1,0,1,1
"inverts.depth","depth",2735.26055917091,2751.47043065152,0.11746,NA,4.99,0,257.228,245.627,0,0,1,0,0,1
"inverts.detrended+roughness","detrended+roughness",3024.4525236999,3052.83985010143,0.12681,NA,8.86,0,546.42,546.996,0,0,0,1,1,1
"inverts.detrended","detrended",3163.30208971675,3179.32830614993,0.08962,NA,4.93,0,685.269,673.485,0,0,0,0,1,1
"inverts.roughness","roughness",3419.58046066807,3435.24424018407,0.03331,NA,4.82,0,941.548,929.401,0,0,0,1,0,1
"inverts.null","null",3530.19161996856,3533.47988766597,0,NA,1,0,1052.159,1027.636,0,0,0,0,0,1
